Sensitive Activities,Background Size,Confidence Privacy
"('O_Sent (online only)',)",1,1.8039781161116037
"('O_Sent (online only)',)",2,1.7524196522689939
"('O_Sent (online only)',)",3,1.3845389767592138
"('O_Sent (online only)',)",4,1.0247716070323283
"('O_Refused',)",1,0.32941979706351665
"('O_Refused',)",2,0.3081576175086094
"('O_Refused',)",3,0.2265723307421189
"('O_Refused',)",4,0.1504266512038394
"('W_Assess potential fraud',)",1,34.60742793579393
"('W_Assess potential fraud',)",2,33.41998628439478
"('W_Assess potential fraud',)",3,25.622316382161756
"('W_Assess potential fraud',)",4,17.900566169743957
"('W_Shortened completion ',)",1,629.5360591819878
"('W_Shortened completion ',)",2,571.8647179214668
"('W_Shortened completion ',)",3,428.5614452351089
"('W_Shortened completion ',)",4,307.2004765094807
"('A_Denied',)",1,0.3124689415798617
"('A_Denied',)",2,0.2922864004778225
"('A_Denied',)",3,0.21496366172538375
"('A_Denied',)",4,0.1427944770449773
"('W_Personal Loan collection',)",1,1393945.3906826004
"('W_Personal Loan collection',)",2,1237636.100561798
"('W_Personal Loan collection',)",3,852782.2577718025
"('W_Personal Loan collection',)",4,525737.3615695033
"('O_Sent (online only)', 'O_Refused')",1,1.9248713799002204
"('O_Sent (online only)', 'O_Refused')",2,1.9633275830241756
"('O_Sent (online only)', 'O_Refused')",3,1.6161147981666788
"('O_Sent (online only)', 'O_Refused')",4,1.2353779364172344
"('O_Sent (online only)', 'W_Assess potential fraud')",1,36.70909622378547
"('O_Sent (online only)', 'W_Assess potential fraud')",2,36.92551286425653
"('O_Sent (online only)', 'W_Assess potential fraud')",3,29.574549699412714
"('O_Sent (online only)', 'W_Assess potential fraud')",4,21.64627847378701
"('O_Sent (online only)', 'W_Shortened completion ')",1,656.4301599435192
"('O_Sent (online only)', 'W_Shortened completion ')",2,619.7464021921859
"('O_Sent (online only)', 'W_Shortened completion ')",3,483.89672574168895
"('O_Sent (online only)', 'W_Shortened completion ')",4,362.2004421602008
"('O_Sent (online only)', 'A_Denied')",1,1.923183890312096
"('O_Sent (online only)', 'A_Denied')",2,1.9592871390282347
"('O_Sent (online only)', 'A_Denied')",3,1.6113911343716953
"('O_Sent (online only)', 'A_Denied')",4,1.2311333007433394
"('O_Sent (online only)', 'W_Personal Loan collection')",1,1452027.1081216158
"('O_Sent (online only)', 'W_Personal Loan collection')",2,1343962.907050093
"('O_Sent (online only)', 'W_Personal Loan collection')",3,968761.2136199166
"('O_Sent (online only)', 'W_Personal Loan collection')",4,626078.5903176144
"('O_Refused', 'W_Assess potential fraud')",1,34.8713914112112
"('O_Refused', 'W_Assess potential fraud')",2,34.6150861720357
"('O_Refused', 'W_Assess potential fraud')",3,27.121340306823665
"('O_Refused', 'W_Assess potential fraud')",4,19.24693558598654
"('O_Refused', 'W_Shortened completion ')",1,656.0970478670337
"('O_Refused', 'W_Shortened completion ')",2,615.2535275039739
"('O_Refused', 'W_Shortened completion ')",3,474.48036294140957
"('O_Refused', 'W_Shortened completion ')",4,349.0180808342316
"('O_Refused', 'A_Denied')",1,0.31025255655549017
"('O_Refused', 'A_Denied')",2,0.2964540729914773
"('O_Refused', 'A_Denied')",3,0.22077183069320702
"('O_Refused', 'A_Denied')",4,0.14716811516706318
"('O_Refused', 'W_Personal Loan collection')",1,1430998.2900271656
"('O_Refused', 'W_Personal Loan collection')",2,1304490.96630811
"('O_Refused', 'W_Personal Loan collection')",3,916631.7197732056
"('O_Refused', 'W_Personal Loan collection')",4,571955.3047824865
"('W_Assess potential fraud', 'W_Shortened completion ')",1,685.6320556811648
"('W_Assess potential fraud', 'W_Shortened completion ')",2,648.9795804793071
"('W_Assess potential fraud', 'W_Shortened completion ')",3,507.54307547186585
"('W_Assess potential fraud', 'W_Shortened completion ')",4,379.84045469192404
"('W_Assess potential fraud', 'A_Denied')",1,34.856642848724114
"('W_Assess potential fraud', 'A_Denied')",2,34.60235111201981
"('W_Assess potential fraud', 'A_Denied')",3,27.112356034123632
"('W_Assess potential fraud', 'A_Denied')",4,19.240977305236058
"('W_Assess potential fraud', 'W_Personal Loan collection')",1,1451801.6991611393
"('W_Assess potential fraud', 'W_Personal Loan collection')",2,1339096.2535609812
"('W_Assess potential fraud', 'W_Personal Loan collection')",3,959483.6169934511
"('W_Assess potential fraud', 'W_Personal Loan collection')",4,615063.4335297865
"('W_Shortened completion ', 'A_Denied')",1,656.0794224211933
"('W_Shortened completion ', 'A_Denied')",2,615.2374769647475
"('W_Shortened completion ', 'A_Denied')",3,474.4689943304108
"('W_Shortened completion ', 'A_Denied')",4,349.01088481653795
"('W_Shortened completion ', 'W_Personal Loan collection')",1,1452668.013009469
"('W_Shortened completion ', 'W_Personal Loan collection')",2,1339925.894626643
"('W_Shortened completion ', 'W_Personal Loan collection')",3,956121.5766376972
"('W_Shortened completion ', 'W_Personal Loan collection')",4,607202.6095332943
"('A_Denied', 'W_Personal Loan collection')",1,1430748.5686855617
"('A_Denied', 'W_Personal Loan collection')",2,1304254.3487515422
"('A_Denied', 'W_Personal Loan collection')",3,916451.9436752362
"('A_Denied', 'W_Personal Loan collection')",4,571829.3814227687
"('O_Sent (online only)', 'O_Refused', 'W_Assess potential fraud')",1,37.075913254133575
