Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC
Alpha+_,BillClintonEstimator,"(('W_Personal Loan collection', 6.347392808403948e-05), ('W_Shortened completion ', 0.0023485353391094607), ('W_Assess potential fraud', 0.009616300104731981), ('O_Sent (online only)', 0.057126535275635534))",1,0.0,0,5
Alpha+_,BillClintonEstimator,"(('W_Personal Loan collection', 6.347392808403948e-05), ('W_Shortened completion ', 0.0023485353391094607), ('W_Assess potential fraud', 0.009616300104731981), ('O_Sent (online only)', 0.057126535275635534))",2,0.0,0,15
Alpha+_,BillClintonEstimator,"(('W_Personal Loan collection', 6.347392808403948e-05), ('W_Shortened completion ', 0.0023485353391094607), ('W_Assess potential fraud', 0.009616300104731981), ('O_Sent (online only)', 0.057126535275635534))",3,0.0,0,25
Alpha+_,BillClintonEstimator,"(('W_Personal Loan collection', 6.347392808403948e-05), ('W_Shortened completion ', 0.0023485353391094607), ('W_Assess potential fraud', 0.009616300104731981), ('O_Sent (online only)', 0.057126535275635534))",4,0.0,0,30
Alpha+_,AlignmentEstimator,"(('W_Personal Loan collection', 6.347392808403948e-05), ('W_Shortened completion ', 0.0023485353391094607), ('W_Assess potential fraud', 0.009616300104731981), ('O_Sent (online only)', 0.057126535275635534))",1,0.0,0,0
Alpha+_,AlignmentEstimator,"(('W_Personal Loan collection', 6.347392808403948e-05), ('W_Shortened completion ', 0.0023485353391094607), ('W_Assess potential fraud', 0.009616300104731981), ('O_Sent (online only)', 0.057126535275635534))",2,0.0,0,0
Alpha+_,AlignmentEstimator,"(('W_Personal Loan collection', 6.347392808403948e-05), ('W_Shortened completion ', 0.0023485353391094607), ('W_Assess potential fraud', 0.009616300104731981), ('O_Sent (online only)', 0.057126535275635534))",3,0.0,0,0
Alpha+_,AlignmentEstimator,"(('W_Personal Loan collection', 6.347392808403948e-05), ('W_Shortened completion ', 0.0023485353391094607), ('W_Assess potential fraud', 0.009616300104731981), ('O_Sent (online only)', 0.057126535275635534))",4,0.0,0,0
Flower_,BillClintonEstimator,"(('W_Personal Loan collection', 6.347392808403948e-05), ('W_Shortened completion ', 0.0023485353391094607), ('W_Assess potential fraud', 0.009616300104731981), ('O_Sent (online only)', 0.057126535275635534))",1,0.0,0,25
Flower_,AlignmentEstimator,"(('W_Personal Loan collection', 6.347392808403948e-05), ('W_Shortened completion ', 0.0023485353391094607), ('W_Assess potential fraud', 0.009616300104731981), ('O_Sent (online only)', 0.057126535275635534))",1,0.0,0,24
