Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
Alpha+_,BillClintonEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",1,0.0,0.0,5,0.0
Alpha+_,BillClintonEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",2,0.0,0.0,15,0.0
Alpha+_,BillClintonEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",3,0.0,0.0,25,0.0
Alpha+_,BillClintonEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",4,0.0,0.0,30,0.0
Alpha+_,AlignmentEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",1,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",2,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",3,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",4,0.0,0.0,0,0.0
Heuristic_,AlignmentEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",1,0.0,0.0,0,0.0
Heuristic_,AlignmentEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",2,0.0,0.0,0,0.0
Flower_,BillClintonEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",1,0.019525173876839774,0.42955382529047503,22,0.029689703990480276
Flower_,BillClintonEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",2,0.002338810267974532,0.5917189977975567,253,0.04453455598572042
Flower_,BillClintonEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",3,0.0003601247600297582,0.6457036947333564,1793,0.059379407980960565
Flower_,AlignmentEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",1,0.018878899203905918,0.3964568832820243,21,0.02890499755461842
Flower_,AlignmentEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",2,0.0023358860208008447,0.5395896708049951,231,0.043357496331927634
Flower_,AlignmentEstimator,"('A_Denied', 'A_Cancelled', 'A_Pending')",3,0.0003747302960741298,0.5849539921717166,1561,0.05780999510923685
