Sensitive Activity,Background Size,Function,Background Odds,Percentage,Absolute,Confidence Privacy
W_Personal Loan collection,1,basic,True,True,True,0.14095591735694563
W_Personal Loan collection,1,basic,True,True,False,0.08983274619949859
W_Personal Loan collection,1,basic,True,False,True,8.947025761334581e-06
W_Personal Loan collection,1,basic,True,False,False,5.702037271858744e-06
W_Personal Loan collection,1,basic,False,True,True,2.5404256105222722
W_Personal Loan collection,1,basic,False,True,False,2.3552960356716444
W_Personal Loan collection,1,basic,False,False,True,0.00016125079250514272
W_Personal Loan collection,1,basic,False,False,False,0.00014949989118484523
W_Personal Loan collection,1,quadratic,True,True,True,0.048977309053771206
W_Personal Loan collection,1,quadratic,True,True,False,0.03262349896053009
W_Personal Loan collection,1,quadratic,True,False,True,1.9732661732386614e-10
W_Personal Loan collection,1,quadratic,True,False,False,1.3143810510460011e-10
W_Personal Loan collection,1,quadratic,False,True,True,105.03629364641206
W_Personal Loan collection,1,quadratic,False,True,False,104.8715281419875
W_Personal Loan collection,1,quadratic,False,False,True,4.231848772811837e-07
W_Personal Loan collection,1,quadratic,False,False,False,4.22521047024522e-07
W_Personal Loan collection,1,cubic,True,True,True,0.019288258963655488
W_Personal Loan collection,1,cubic,True,True,False,0.012629901517924407
W_Personal Loan collection,1,cubic,True,False,True,4.932636981193911e-15
W_Personal Loan collection,1,cubic,True,False,False,3.229877793197374e-15
W_Personal Loan collection,1,cubic,False,True,True,5307.330195404772
W_Personal Loan collection,1,cubic,False,True,False,5307.169189779006
W_Personal Loan collection,1,cubic,False,False,True,1.3572574508974375e-09
W_Personal Loan collection,1,cubic,False,False,False,1.3572162765070832e-09
W_Personal Loan collection,2,basic,True,True,True,0.1646980478713386
W_Personal Loan collection,2,basic,True,True,False,0.10302429273739393
W_Personal Loan collection,2,basic,True,False,True,1.0454032046167036e-05
W_Personal Loan collection,2,basic,True,False,False,6.539356548122372e-06
W_Personal Loan collection,2,basic,False,True,True,4.045595919852857
W_Personal Loan collection,2,basic,False,True,False,3.67640771163714
W_Personal Loan collection,2,basic,False,False,True,0.0002567898644738228
W_Personal Loan collection,2,basic,False,False,False,0.00023335603869606411
W_Personal Loan collection,2,quadratic,True,True,True,0.056078824776257974
W_Personal Loan collection,2,quadratic,True,True,False,0.038332436746989176
W_Personal Loan collection,2,quadratic,True,False,True,2.259381948577012e-10
W_Personal Loan collection,2,quadratic,True,False,False,1.5443907032050424e-10
W_Personal Loan collection,2,quadratic,False,True,True,206.56409805356162
W_Personal Loan collection,2,quadratic,False,True,False,206.21303251278118
W_Personal Loan collection,2,quadratic,False,False,True,8.322342635181181e-07
W_Personal Loan collection,2,quadratic,False,False,False,8.308198416774855e-07
W_Personal Loan collection,2,cubic,True,True,True,0.021924757933310713
W_Personal Loan collection,2,cubic,True,True,False,0.01536609001050832
W_Personal Loan collection,2,cubic,True,False,True,5.6068757677586325e-15
W_Personal Loan collection,2,cubic,True,False,False,3.92961044254993e-15
W_Personal Loan collection,2,cubic,False,True,True,13690.453802510527
W_Personal Loan collection,2,cubic,False,True,False,13690.105905588849
W_Personal Loan collection,2,cubic,False,False,True,3.5010956065467645e-09
W_Personal Loan collection,2,cubic,False,False,False,3.501006637955821e-09
W_Personal Loan collection,3,basic,True,True,True,0.15158519479401256
W_Personal Loan collection,3,basic,True,True,False,0.09162301926476088
W_Personal Loan collection,3,basic,True,False,True,9.621707752960268e-06
W_Personal Loan collection,3,basic,True,False,False,5.815672935654005e-06
W_Personal Loan collection,3,basic,False,True,True,4.812058348910338
W_Personal Loan collection,3,basic,False,True,False,4.283750901148949
W_Personal Loan collection,3,basic,False,False,True,0.000305440245574933
W_Personal Loan collection,3,basic,False,False,False,0.0002719064966294648
W_Personal Loan collection,3,quadratic,True,True,True,0.05055644162492946
W_Personal Loan collection,3,quadratic,True,True,False,0.034929372992651586
W_Personal Loan collection,3,quadratic,True,False,True,2.0368884698884044e-10
W_Personal Loan collection,3,quadratic,True,False,False,1.4072833218167157e-10
W_Personal Loan collection,3,quadratic,False,True,True,287.6891790245427
W_Personal Loan collection,3,quadratic,False,True,False,287.17289975795444
W_Personal Loan collection,3,quadratic,False,False,True,1.1590823104484826e-06
W_Personal Loan collection,3,quadratic,False,False,False,1.157002252494298e-06
W_Personal Loan collection,3,cubic,True,True,True,0.01967148999302435
W_Personal Loan collection,3,cubic,True,True,False,0.01444747973296739
W_Personal Loan collection,3,cubic,True,False,True,5.0306416560258005e-15
W_Personal Loan collection,3,cubic,True,False,False,3.69469183041177e-15
W_Personal Loan collection,3,cubic,False,True,True,22798.324045628877
W_Personal Loan collection,3,cubic,False,True,False,22797.809736258492
W_Personal Loan collection,3,cubic,False,False,True,5.830275117552695e-09
W_Personal Loan collection,3,cubic,False,False,False,5.8301435918702905e-09
W_Personal Loan collection,4,basic,True,True,True,0.12936871189178173
W_Personal Loan collection,4,basic,True,True,False,0.07445312183601173
W_Personal Loan collection,4,basic,True,False,True,8.211540314943676e-06
W_Personal Loan collection,4,basic,True,False,False,4.725832101051218e-06
W_Personal Loan collection,4,basic,False,True,True,5.05545451580383
W_Personal Loan collection,4,basic,False,True,False,4.398854179822928
W_Personal Loan collection,4,basic,False,False,True,0.0003208895563683073
W_Personal Loan collection,4,basic,False,False,False,0.00027921255386225834
W_Personal Loan collection,4,quadratic,True,True,True,0.0422309560997111
W_Personal Loan collection,4,quadratic,True,True,False,0.029066496877130994
W_Personal Loan collection,4,quadratic,True,False,True,1.7014596911317234e-10
W_Personal Loan collection,4,quadratic,True,False,False,1.1710715874410495e-10
W_Personal Loan collection,4,quadratic,False,True,True,339.6417995593234
W_Personal Loan collection,4,quadratic,False,True,False,338.9922368605075
W_Personal Loan collection,4,quadratic,False,False,True,1.368396277861109e-06
W_Personal Loan collection,4,quadratic,False,False,False,1.3657792290159186e-06
W_Personal Loan collection,4,cubic,True,True,True,0.016375002838051687
W_Personal Loan collection,4,cubic,True,True,False,0.012350093927616218
W_Personal Loan collection,4,cubic,True,False,True,4.187622362304644e-15
W_Personal Loan collection,4,cubic,True,False,False,3.1583218653049232e-15
W_Personal Loan collection,4,cubic,False,True,True,30496.883050843782
W_Personal Loan collection,4,cubic,False,True,False,30496.234553629212
W_Personal Loan collection,4,cubic,False,False,True,7.79904777466999e-09
W_Personal Loan collection,4,cubic,False,False,False,7.798881932778163e-09
O_Sent (online only),1,basic,True,True,True,0.10240309118029767
O_Sent (online only),1,basic,True,True,False,0.07744203878257006
O_Sent (online only),1,basic,True,False,True,0.005849933800645397
O_Sent (online only),1,basic,True,False,False,0.004423995360329622
O_Sent (online only),1,basic,False,True,True,0.29424285797438454
O_Sent (online only),1,basic,False,True,False,0.15232228825998578
O_Sent (online only),1,basic,False,False,True,0.0168090750056775
O_Sent (online only),1,basic,False,False,False,0.008701644573549603
