Sensitive Activities,Background Size,Confidence Privacy
"('Declaration REJECTED by ADMINISTRATION',)",1,0.10121723237408846
"('Declaration REJECTED by ADMINISTRATION',)",2,0.057879278288544056
"('Declaration REJECTED by ADMINISTRATION',)",3,0.034834586982380095
"('Declaration REJECTED by ADMINISTRATION',)",4,0.023376130384509752
"('Declaration SAVED by EMPLOYEE',)",1,0.0
"('Declaration SAVED by EMPLOYEE',)",2,0.0
"('Declaration SAVED by EMPLOYEE',)",3,0.0
"('Declaration SAVED by EMPLOYEE',)",4,0.0
"('Declaration FOR_APPROVAL by ADMINISTRATION',)",1,643481.5843526372
"('Declaration FOR_APPROVAL by ADMINISTRATION',)",2,587554.8512719577
"('Declaration FOR_APPROVAL by ADMINISTRATION',)",3,441075.0008531867
"('Declaration FOR_APPROVAL by ADMINISTRATION',)",4,310362.30144301034
"('Declaration APPROVED by PRE_APPROVER',)",1,0.055539040445780896
"('Declaration APPROVED by PRE_APPROVER',)",2,0.027684270867722374
"('Declaration APPROVED by PRE_APPROVER',)",3,0.011851475933081786
"('Declaration APPROVED by PRE_APPROVER',)",4,0.0054833343094448615
"('Declaration FOR_APPROVAL by SUPERVISOR',)",1,1575.216271193885
"('Declaration FOR_APPROVAL by SUPERVISOR',)",2,323.2430775372814
"('Declaration FOR_APPROVAL by SUPERVISOR',)",3,91.70660345861073
"('Declaration FOR_APPROVAL by SUPERVISOR',)",4,38.81991775418005
"('Declaration REJECTED by BUDGET OWNER',)",1,97.92542695094103
"('Declaration REJECTED by BUDGET OWNER',)",2,44.4925564151033
"('Declaration REJECTED by BUDGET OWNER',)",3,21.253181740300047
"('Declaration REJECTED by BUDGET OWNER',)",4,12.93038149805896
"('Declaration REJECTED by SUPERVISOR',)",1,0.9183747784784397
"('Declaration REJECTED by SUPERVISOR',)",2,0.519016671820996
"('Declaration REJECTED by SUPERVISOR',)",3,0.29386390467019496
"('Declaration REJECTED by SUPERVISOR',)",4,0.18546066188222374
"('Declaration REJECTED by MISSING',)",1,0.46043796404900733
"('Declaration REJECTED by MISSING',)",2,0.15261771211978348
"('Declaration REJECTED by MISSING',)",3,0.053552568141669234
"('Declaration REJECTED by MISSING',)",4,0.024970824150488274
"('Declaration REJECTED by PRE_APPROVER',)",1,13.583028436700857
"('Declaration REJECTED by PRE_APPROVER',)",2,8.434304436630853
"('Declaration REJECTED by PRE_APPROVER',)",3,4.727623235702414
"('Declaration REJECTED by PRE_APPROVER',)",4,2.647635121317607
"('Declaration FOR_APPROVAL by PRE_APPROVER',)",1,1575.216271193885
"('Declaration FOR_APPROVAL by PRE_APPROVER',)",2,323.2430775372814
"('Declaration FOR_APPROVAL by PRE_APPROVER',)",3,91.70660345861073
"('Declaration FOR_APPROVAL by PRE_APPROVER',)",4,38.81991775418005
"('Declaration REJECTED by EMPLOYEE',)",1,0.012356934173482208
"('Declaration REJECTED by EMPLOYEE',)",2,0.007005598215766429
"('Declaration REJECTED by EMPLOYEE',)",3,0.004416449089365432
"('Declaration REJECTED by EMPLOYEE',)",4,0.0031143650990248695
"('Declaration REJECTED by ADMINISTRATION', 'Declaration SAVED by EMPLOYEE')",1,0.10796504786569436
"('Declaration REJECTED by ADMINISTRATION', 'Declaration SAVED by EMPLOYEE')",2,0.05983026519714667
"('Declaration REJECTED by ADMINISTRATION', 'Declaration SAVED by EMPLOYEE')",3,0.035310144483846034
"('Declaration REJECTED by ADMINISTRATION', 'Declaration SAVED by EMPLOYEE')",4,0.02352154954708835
"('Declaration REJECTED by ADMINISTRATION', 'Declaration FOR_APPROVAL by ADMINISTRATION')",1,646045.0411860293
"('Declaration REJECTED by ADMINISTRATION', 'Declaration FOR_APPROVAL by ADMINISTRATION')",2,626032.3695524358
"('Declaration REJECTED by ADMINISTRATION', 'Declaration FOR_APPROVAL by ADMINISTRATION')",3,497307.898247772
"('Declaration REJECTED by ADMINISTRATION', 'Declaration FOR_APPROVAL by ADMINISTRATION')",4,368293.853879199
"('Declaration REJECTED by ADMINISTRATION', 'Declaration APPROVED by PRE_APPROVER')",1,0.16554760267828958
"('Declaration REJECTED by ADMINISTRATION', 'Declaration APPROVED by PRE_APPROVER')",2,0.09716715628110256
"('Declaration REJECTED by ADMINISTRATION', 'Declaration APPROVED by PRE_APPROVER')",3,0.05625148197123508
"('Declaration REJECTED by ADMINISTRATION', 'Declaration APPROVED by PRE_APPROVER')",4,0.03604657212799183
"('Declaration REJECTED by ADMINISTRATION', 'Declaration FOR_APPROVAL by SUPERVISOR')",1,1680.3370000925847
"('Declaration REJECTED by ADMINISTRATION', 'Declaration FOR_APPROVAL by SUPERVISOR')",2,366.88596529704006
"('Declaration REJECTED by ADMINISTRATION', 'Declaration FOR_APPROVAL by SUPERVISOR')",3,111.46031361831973
"('Declaration REJECTED by ADMINISTRATION', 'Declaration FOR_APPROVAL by SUPERVISOR')",4,50.79727896452948
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by BUDGET OWNER')",1,104.16144102135327
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by BUDGET OWNER')",2,50.23221017395621
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by BUDGET OWNER')",3,25.5841189958695
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by BUDGET OWNER')",4,16.618361336363442
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by SUPERVISOR')",1,0.9792902639088098
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by SUPERVISOR')",2,0.5900737075381602
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by SUPERVISOR')",3,0.3588073561814283
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by SUPERVISOR')",4,0.2434367088200913
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by MISSING')",1,0.5974446474265864
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by MISSING')",2,0.24095788213265348
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by MISSING')",3,0.1081427169576936
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by MISSING')",4,0.062460047399157156
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by PRE_APPROVER')",1,14.489237446930407
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by PRE_APPROVER')",2,9.66029214497133
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by PRE_APPROVER')",3,5.873566979150232
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by PRE_APPROVER')",4,3.58113778431542
"('Declaration REJECTED by ADMINISTRATION', 'Declaration FOR_APPROVAL by PRE_APPROVER')",1,1680.3370000925847
"('Declaration REJECTED by ADMINISTRATION', 'Declaration FOR_APPROVAL by PRE_APPROVER')",2,366.88596529704006
"('Declaration REJECTED by ADMINISTRATION', 'Declaration FOR_APPROVAL by PRE_APPROVER')",3,111.46031361831973
"('Declaration REJECTED by ADMINISTRATION', 'Declaration FOR_APPROVAL by PRE_APPROVER')",4,50.79727896452948
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE')",1,0.0024749262769081467
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE')",2,0.000746065301606114
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE')",3,0.00034856046155685115
"('Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE')",4,0.00021992094108121442
"('Declaration SAVED by EMPLOYEE', 'Declaration FOR_APPROVAL by ADMINISTRATION')",1,686380.356642813
"('Declaration SAVED by EMPLOYEE', 'Declaration FOR_APPROVAL by ADMINISTRATION')",2,607140.0129810229
"('Declaration SAVED by EMPLOYEE', 'Declaration FOR_APPROVAL by ADMINISTRATION')",3,446956.0008645625
"('Declaration SAVED by EMPLOYEE', 'Declaration FOR_APPROVAL by ADMINISTRATION')",4,312229.14235394576
"('Declaration SAVED by EMPLOYEE', 'Declaration APPROVED by PRE_APPROVER')",1,0.05924164314216629
