Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC
IMf20_,BillClintonEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",1,0.0,0,16
IMf20_,BillClintonEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",2,0.0,0,130
IMf20_,BillClintonEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",3,0.0,0,610
IMf20_,AlignmentEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",1,0.0,0,14
IMf20_,AlignmentEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",2,0.0,0,102
IMf20_,AlignmentEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",3,0.0,0,432
Alpha+_,BillClintonEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",1,0.0,0,1
Alpha+_,BillClintonEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",2,0.0,0,1
Alpha+_,BillClintonEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",3,0.0,0,1
Alpha+_,BillClintonEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",4,0.0,0,1
Alpha+_,AlignmentEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",1,0.0,0,0
Alpha+_,AlignmentEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",2,0.0,0,0
Alpha+_,AlignmentEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",3,0.0,0,0
Alpha+_,AlignmentEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",4,0.0,0,0
Heuristic_,BillClintonEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",1,0.0,0,3
Heuristic_,BillClintonEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",2,0.0,0,6
Heuristic_,BillClintonEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",3,0.0,0,7
Heuristic_,BillClintonEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",4,0.0,0,7
Heuristic_,AlignmentEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",1,0.0,0,3
Heuristic_,AlignmentEstimator,"(('Declaration FOR_APPROVAL by ADMINISTRATION', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by PRE_APPROVER', 9.523809523809524e-05), ('Declaration FOR_APPROVAL by SUPERVISOR', 9.523809523809524e-05), ('Declaration REJECTED by BUDGET OWNER', 0.005523809523809524))",2,0.0,0,6
