Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER')",1,6.86025358527524e-05,0.0008918329660857812,13,0.9516129032258065
IMf20_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER')",2,9.41707116781238e-05,0.008287022627674894,88,0.9516129032258066
IMf20_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER')",3,0.00010420757328901777,0.03574319763813309,343,0.9516129032258066
IMf20_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER')",4,0.00010505739750082099,0.09591740391824956,913,0.9516129032258067
IMf20_,AlignmentEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER')",1,0.09843047988618524,1.279596238520408,13,0.037500000000000006
IMf20_,AlignmentEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER')",2,0.0872982314789211,7.682244370145057,88,0.037500000000000006
IMf20_,AlignmentEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER')",3,0.06088191768856611,20.882497767178176,343,0.037500000000000006
IMf20_,AlignmentEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER')",4,0.0386432492693605,35.281286582926136,913,0.037500000000000006
Heuristic_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER')",1,0.0,0.0,3,0.0
Heuristic_,BillClintonEstimator,"('Declaration_FOR_APPROVAL_by_ADMINISTRATION', 'Declaration_FOR_APPROVAL_by_PRE_APPROVER', 'Declaration_FOR_APPROVAL_by_SUPERVISOR', 'Declaration_REJECTED_by_BUDGET_OWNER')",2,0.0,0.0,6,0.0
