Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_PRE_APPROVER')",1,7.568232344738461e-08,2.1947873799741537e-06,29,0.04599406528189911
IMf20_,AlignmentEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_PRE_APPROVER')",1,0.0322528974954829,0.9353340273690042,29,0.1273584905660376
Flower_,BillClintonEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_PRE_APPROVER')",1,5.895988927802859e-05,0.0017687966783408577,30,0.9822048611109306
Flower_,BillClintonEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_PRE_APPROVER')",2,0.00011700969979726197,0.054409510405726814,465,0.9868121909631385
Flower_,AlignmentEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_PRE_APPROVER')",1,0.02540645030378676,0.7621935091136028,30,0.009515806066803004
Flower_,AlignmentEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_PRE_APPROVER')",2,0.012160255407120487,5.654518764311026,465,0.014193225551538345
Alpha+_,BillClintonEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_PRE_APPROVER')",1,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_PRE_APPROVER')",2,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_PRE_APPROVER')",3,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_PRE_APPROVER')",4,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_PRE_APPROVER')",1,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_PRE_APPROVER')",2,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_PRE_APPROVER')",3,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_PRE_APPROVER')",4,0.0,0.0,0,0.0
