Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC
Alpha+_,BillClintonEstimator,"(('Permit REJECTED by DIRECTOR', 0.00015506280043417584), ('Declaration REJECTED by DIRECTOR', 0.0006202512017367033), ('Permit REJECTED by PRE_APPROVER', 0.00372150721042022), ('Permit REJECTED by BUDGET OWNER', 0.004496821212591099))",1,0.0,0,0
Alpha+_,BillClintonEstimator,"(('Permit REJECTED by DIRECTOR', 0.00015506280043417584), ('Declaration REJECTED by DIRECTOR', 0.0006202512017367033), ('Permit REJECTED by PRE_APPROVER', 0.00372150721042022), ('Permit REJECTED by BUDGET OWNER', 0.004496821212591099))",2,0.0,0,0
Alpha+_,BillClintonEstimator,"(('Permit REJECTED by DIRECTOR', 0.00015506280043417584), ('Declaration REJECTED by DIRECTOR', 0.0006202512017367033), ('Permit REJECTED by PRE_APPROVER', 0.00372150721042022), ('Permit REJECTED by BUDGET OWNER', 0.004496821212591099))",3,0.0,0,0
Alpha+_,BillClintonEstimator,"(('Permit REJECTED by DIRECTOR', 0.00015506280043417584), ('Declaration REJECTED by DIRECTOR', 0.0006202512017367033), ('Permit REJECTED by PRE_APPROVER', 0.00372150721042022), ('Permit REJECTED by BUDGET OWNER', 0.004496821212591099))",4,0.0,0,0
Alpha+_,AlignmentEstimator,"(('Permit REJECTED by DIRECTOR', 0.00015506280043417584), ('Declaration REJECTED by DIRECTOR', 0.0006202512017367033), ('Permit REJECTED by PRE_APPROVER', 0.00372150721042022), ('Permit REJECTED by BUDGET OWNER', 0.004496821212591099))",1,0.0,0,0
Alpha+_,AlignmentEstimator,"(('Permit REJECTED by DIRECTOR', 0.00015506280043417584), ('Declaration REJECTED by DIRECTOR', 0.0006202512017367033), ('Permit REJECTED by PRE_APPROVER', 0.00372150721042022), ('Permit REJECTED by BUDGET OWNER', 0.004496821212591099))",2,0.0,0,0
Alpha+_,AlignmentEstimator,"(('Permit REJECTED by DIRECTOR', 0.00015506280043417584), ('Declaration REJECTED by DIRECTOR', 0.0006202512017367033), ('Permit REJECTED by PRE_APPROVER', 0.00372150721042022), ('Permit REJECTED by BUDGET OWNER', 0.004496821212591099))",3,0.0,0,0
Alpha+_,AlignmentEstimator,"(('Permit REJECTED by DIRECTOR', 0.00015506280043417584), ('Declaration REJECTED by DIRECTOR', 0.0006202512017367033), ('Permit REJECTED by PRE_APPROVER', 0.00372150721042022), ('Permit REJECTED by BUDGET OWNER', 0.004496821212591099))",4,0.0,0,0
Flower_,BillClintonEstimator,"(('Permit REJECTED by DIRECTOR', 0.00015506280043417584), ('Declaration REJECTED by DIRECTOR', 0.0006202512017367033), ('Permit REJECTED by PRE_APPROVER', 0.00372150721042022), ('Permit REJECTED by BUDGET OWNER', 0.004496821212591099))",1,0.0,0,34
Flower_,AlignmentEstimator,"(('Permit REJECTED by DIRECTOR', 0.00015506280043417584), ('Declaration REJECTED by DIRECTOR', 0.0006202512017367033), ('Permit REJECTED by PRE_APPROVER', 0.00372150721042022), ('Permit REJECTED by BUDGET OWNER', 0.004496821212591099))",1,0.0,0,34
