Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC
IMf20_,BillClintonEstimator,"('Send Reminder',)",1,0.0,0,57
IMf20_,AlignmentEstimator,"('Send Reminder',)",1,0.0,0,56
Alpha+_,BillClintonEstimator,"('Send Reminder',)",1,0.0,0,0
Alpha+_,BillClintonEstimator,"('Send Reminder',)",2,0.0,0,0
Alpha+_,BillClintonEstimator,"('Send Reminder',)",3,0.0,0,0
Alpha+_,BillClintonEstimator,"('Send Reminder',)",4,0.0,0,0
Alpha+_,AlignmentEstimator,"('Send Reminder',)",1,0.0,0,0
Alpha+_,AlignmentEstimator,"('Send Reminder',)",2,0.0,0,0
Alpha+_,AlignmentEstimator,"('Send Reminder',)",3,0.0,0,0
Alpha+_,AlignmentEstimator,"('Send Reminder',)",4,0.0,0,0
Flower_,BillClintonEstimator,"('Send Reminder',)",1,0.0,0,34
Flower_,AlignmentEstimator,"('Send Reminder',)",1,0.0,0,34
