Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR')",1,0.040366810997181826,0.7669694089464547,19,1.0000000000000004
IMf20_,AlignmentEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR')",1,0.004261933727785918,0.08097674082793245,19,0.9999999999999998
Flower_,BillClintonEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR')",1,9.373379806651425e-07,1.7809421632637707e-05,19,0.9975504963764084
Flower_,BillClintonEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR')",2,1.8545876871819464e-06,0.0003523716605645698,190,0.9979977442823851
Flower_,AlignmentEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR')",1,0.03984782043461962,0.7571085882577727,19,0.07267069929917276
Flower_,AlignmentEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR')",2,0.02941495320648345,5.588841109231855,190,0.10338125942558093
Alpha+_,BillClintonEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR')",1,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR')",2,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR')",3,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR')",4,0.0,0.0,0,0.0
