Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
Flower_,BillClintonEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_DIRECTOR')",1,0.0007244528902607943,0.03404928584225733,47,0.8727272727292908
Flower_,BillClintonEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_DIRECTOR')",2,0.0014299371040002696,1.612969053312304,1128,0.8988103254784808
Flower_,AlignmentEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_DIRECTOR')",1,0.01835479248246192,0.8626752466757103,47,0.0011309020073210704
Flower_,AlignmentEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_DIRECTOR')",2,0.0062402771181777235,7.0390325893044725,1128,0.0016950355580897228
Alpha+_,BillClintonEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_DIRECTOR')",1,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_DIRECTOR')",2,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_DIRECTOR')",3,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_DIRECTOR')",4,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_DIRECTOR')",1,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_DIRECTOR')",2,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_DIRECTOR')",3,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Declaration_REJECTED_by_DIRECTOR', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_DIRECTOR')",4,0.0,0.0,0,0.0
