Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"(('Permit FOR_APPROVAL by ADMINISTRATION', 0.00014154281670205238), ('Permit FOR_APPROVAL by SUPERVISOR', 0.00014154281670205238), ('Permit REJECTED by DIRECTOR', 0.00028308563340410475), ('Request For Payment REJECTED by BUDGET OWNER', 0.0005661712668082095))",1,0.0,0,50,0
Alpha+_,BillClintonEstimator,"(('Permit FOR_APPROVAL by ADMINISTRATION', 0.00014154281670205238), ('Permit FOR_APPROVAL by SUPERVISOR', 0.00014154281670205238), ('Permit REJECTED by DIRECTOR', 0.00028308563340410475), ('Request For Payment REJECTED by BUDGET OWNER', 0.0005661712668082095))",1,0.0,0,0,0
Alpha+_,BillClintonEstimator,"(('Permit FOR_APPROVAL by ADMINISTRATION', 0.00014154281670205238), ('Permit FOR_APPROVAL by SUPERVISOR', 0.00014154281670205238), ('Permit REJECTED by DIRECTOR', 0.00028308563340410475), ('Request For Payment REJECTED by BUDGET OWNER', 0.0005661712668082095))",2,0.0,0,0,0
Alpha+_,BillClintonEstimator,"(('Permit FOR_APPROVAL by ADMINISTRATION', 0.00014154281670205238), ('Permit FOR_APPROVAL by SUPERVISOR', 0.00014154281670205238), ('Permit REJECTED by DIRECTOR', 0.00028308563340410475), ('Request For Payment REJECTED by BUDGET OWNER', 0.0005661712668082095))",3,0.0,0,0,0
Alpha+_,BillClintonEstimator,"(('Permit FOR_APPROVAL by ADMINISTRATION', 0.00014154281670205238), ('Permit FOR_APPROVAL by SUPERVISOR', 0.00014154281670205238), ('Permit REJECTED by DIRECTOR', 0.00028308563340410475), ('Request For Payment REJECTED by BUDGET OWNER', 0.0005661712668082095))",4,0.0,0,0,0
Alpha+_,AlignmentEstimator,"(('Permit FOR_APPROVAL by ADMINISTRATION', 0.00014154281670205238), ('Permit FOR_APPROVAL by SUPERVISOR', 0.00014154281670205238), ('Permit REJECTED by DIRECTOR', 0.00028308563340410475), ('Request For Payment REJECTED by BUDGET OWNER', 0.0005661712668082095))",1,0.0,0,0,0
Alpha+_,AlignmentEstimator,"(('Permit FOR_APPROVAL by ADMINISTRATION', 0.00014154281670205238), ('Permit FOR_APPROVAL by SUPERVISOR', 0.00014154281670205238), ('Permit REJECTED by DIRECTOR', 0.00028308563340410475), ('Request For Payment REJECTED by BUDGET OWNER', 0.0005661712668082095))",2,0.0,0,0,0
Alpha+_,AlignmentEstimator,"(('Permit FOR_APPROVAL by ADMINISTRATION', 0.00014154281670205238), ('Permit FOR_APPROVAL by SUPERVISOR', 0.00014154281670205238), ('Permit REJECTED by DIRECTOR', 0.00028308563340410475), ('Request For Payment REJECTED by BUDGET OWNER', 0.0005661712668082095))",3,0.0,0,0,0
Alpha+_,AlignmentEstimator,"(('Permit FOR_APPROVAL by ADMINISTRATION', 0.00014154281670205238), ('Permit FOR_APPROVAL by SUPERVISOR', 0.00014154281670205238), ('Permit REJECTED by DIRECTOR', 0.00028308563340410475), ('Request For Payment REJECTED by BUDGET OWNER', 0.0005661712668082095))",4,0.0,0,0,0
Flower_,BillClintonEstimator,"(('Permit FOR_APPROVAL by ADMINISTRATION', 0.00014154281670205238), ('Permit FOR_APPROVAL by SUPERVISOR', 0.00014154281670205238), ('Permit REJECTED by DIRECTOR', 0.00028308563340410475), ('Request For Payment REJECTED by BUDGET OWNER', 0.0005661712668082095))",1,0.0,0,51,0
Flower_,BillClintonEstimator,"(('Permit FOR_APPROVAL by ADMINISTRATION', 0.00014154281670205238), ('Permit FOR_APPROVAL by SUPERVISOR', 0.00014154281670205238), ('Permit REJECTED by DIRECTOR', 0.00028308563340410475), ('Request For Payment REJECTED by BUDGET OWNER', 0.0005661712668082095))",2,0.0,0,1326,0
Flower_,AlignmentEstimator,"(('Permit FOR_APPROVAL by ADMINISTRATION', 0.00014154281670205238), ('Permit FOR_APPROVAL by SUPERVISOR', 0.00014154281670205238), ('Permit REJECTED by DIRECTOR', 0.00028308563340410475), ('Request For Payment REJECTED by BUDGET OWNER', 0.0005661712668082095))",1,0.0,0,51,0
Flower_,AlignmentEstimator,"(('Permit FOR_APPROVAL by ADMINISTRATION', 0.00014154281670205238), ('Permit FOR_APPROVAL by SUPERVISOR', 0.00014154281670205238), ('Permit REJECTED by DIRECTOR', 0.00028308563340410475), ('Request For Payment REJECTED by BUDGET OWNER', 0.0005661712668082095))",2,0.0,0,1326,0
