Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC
Alpha+_,BillClintonEstimator,"('Payment Handled', 'Send Reminder')",1,0.0,0,0
Alpha+_,BillClintonEstimator,"('Payment Handled', 'Send Reminder')",2,0.0,0,0
Alpha+_,BillClintonEstimator,"('Payment Handled', 'Send Reminder')",3,0.0,0,0
Alpha+_,BillClintonEstimator,"('Payment Handled', 'Send Reminder')",4,0.0,0,0
Alpha+_,AlignmentEstimator,"('Payment Handled', 'Send Reminder')",1,0.0,0,0
Alpha+_,AlignmentEstimator,"('Payment Handled', 'Send Reminder')",2,0.0,0,0
Alpha+_,AlignmentEstimator,"('Payment Handled', 'Send Reminder')",3,0.0,0,0
Alpha+_,AlignmentEstimator,"('Payment Handled', 'Send Reminder')",4,0.0,0,0
Flower_,BillClintonEstimator,"('Payment Handled', 'Send Reminder')",1,0.0,0,51
Flower_,AlignmentEstimator,"('Payment Handled', 'Send Reminder')",1,0.0,0,51
