Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
Flower_,BillClintonEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Permit_SAVED_by_EMPLOYEE', 'Request_For_Payment_APPROVED_by_PRE_APPROVER', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_ADMINISTRATION', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_EMPLOYEE', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,6.87671082750745e-07,1.5816434903267136e-05,23,0.998209175902325
Flower_,BillClintonEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Permit_SAVED_by_EMPLOYEE', 'Request_For_Payment_APPROVED_by_PRE_APPROVER', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_ADMINISTRATION', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_EMPLOYEE', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",2,1.3823267753324572e-06,0.0003815221899917582,276,0.9986133126306057
Flower_,AlignmentEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Permit_SAVED_by_EMPLOYEE', 'Request_For_Payment_APPROVED_by_PRE_APPROVER', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_ADMINISTRATION', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_EMPLOYEE', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,0.037187438372515154,0.8553110825678485,23,0.08782545228477508
Flower_,AlignmentEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Permit_SAVED_by_EMPLOYEE', 'Request_For_Payment_APPROVED_by_PRE_APPROVER', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_ADMINISTRATION', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_EMPLOYEE', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",2,0.02512002880603081,6.933127950464503,276,0.12455409778997936
Alpha+_,BillClintonEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Permit_SAVED_by_EMPLOYEE', 'Request_For_Payment_APPROVED_by_PRE_APPROVER', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_ADMINISTRATION', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_EMPLOYEE', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Permit_SAVED_by_EMPLOYEE', 'Request_For_Payment_APPROVED_by_PRE_APPROVER', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_ADMINISTRATION', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_EMPLOYEE', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",2,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Permit_SAVED_by_EMPLOYEE', 'Request_For_Payment_APPROVED_by_PRE_APPROVER', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_ADMINISTRATION', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_EMPLOYEE', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",3,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Permit_SAVED_by_EMPLOYEE', 'Request_For_Payment_APPROVED_by_PRE_APPROVER', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_ADMINISTRATION', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_EMPLOYEE', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",4,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Permit_SAVED_by_EMPLOYEE', 'Request_For_Payment_APPROVED_by_PRE_APPROVER', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_ADMINISTRATION', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_EMPLOYEE', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Declaration_APPROVED_by_SUPERVISOR', 'Declaration_FINAL_APPROVED_by_DIRECTOR', 'Declaration_REJECTED_by_BUDGET_OWNER', 'Declaration_REJECTED_by_DIRECTOR', 'Declaration_REJECTED_by_MISSING', 'Declaration_REJECTED_by_PRE_APPROVER', 'Declaration_REJECTED_by_SUPERVISOR', 'Declaration_SAVED_by_EMPLOYEE', 'Permit_FOR_APPROVAL_by_ADMINISTRATION', 'Permit_FOR_APPROVAL_by_SUPERVISOR', 'Permit_REJECTED_by_ADMINISTRATION', 'Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_DIRECTOR', 'Permit_REJECTED_by_EMPLOYEE', 'Permit_REJECTED_by_MISSING', 'Permit_REJECTED_by_PRE_APPROVER', 'Permit_REJECTED_by_SUPERVISOR', 'Permit_SAVED_by_EMPLOYEE', 'Request_For_Payment_APPROVED_by_PRE_APPROVER', 'Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_REJECTED_by_ADMINISTRATION', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_EMPLOYEE', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",2,0.0,0.0,0,0.0
