Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",1,0.19949627369270762,4.98740684231769,25,0.9026738197221627
IMf20_,BillClintonEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",2,0.26792830275200086,87.07669839440028,325,0.99020648210807
IMf20_,AlignmentEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",1,0.04484570274526145,1.0762968658862748,24,0.2164986935423666
IMf20_,AlignmentEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",2,0.03326370640472226,9.979111921416678,300,0.2282665334485218
Flower_,BillClintonEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",1,0.0002929781069731726,0.007324452674329316,25,0.9730639730641367
Flower_,BillClintonEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",2,0.0005651274326123558,0.18366641559901564,325,0.9813158035381397
Flower_,BillClintonEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",3,0.0008370777713963648,2.1973291499154577,2625,0.9847206932902931
Flower_,AlignmentEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",1,0.024808100226154695,0.6202025056538674,25,0.015947410580511454
Flower_,AlignmentEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",2,0.011468281346114686,3.727191437487273,325,0.023726397773296017
Flower_,AlignmentEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",3,0.004279421422514172,11.233481234099703,2625,0.03135132120402201
Alpha+_,BillClintonEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",1,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",2,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",3,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",4,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",1,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",2,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",3,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Permit_REJECTED_by_BUDGET_OWNER', 'Permit_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING')",4,0.0,0.0,0,0.0
