Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"(('Request For Payment REJECTED by BUDGET OWNER', 0.0033349213911386373), ('Request For Payment REJECTED by MISSING', 0.004287756074321105), ('Permit REJECTED by PRE_APPROVER', 0.006669842782277275), ('Permit REJECTED by ADMINISTRATION', 0.007146260123868509))",1,0.0,0,29,0
IMf20_,BillClintonEstimator,"(('Request For Payment REJECTED by BUDGET OWNER', 0.0033349213911386373), ('Request For Payment REJECTED by MISSING', 0.004287756074321105), ('Permit REJECTED by PRE_APPROVER', 0.006669842782277275), ('Permit REJECTED by ADMINISTRATION', 0.007146260123868509))",2,0.0,0,435,0
IMf20_,AlignmentEstimator,"(('Request For Payment REJECTED by BUDGET OWNER', 0.0033349213911386373), ('Request For Payment REJECTED by MISSING', 0.004287756074321105), ('Permit REJECTED by PRE_APPROVER', 0.006669842782277275), ('Permit REJECTED by ADMINISTRATION', 0.007146260123868509))",1,0.0,0,26,0
IMf20_,AlignmentEstimator,"(('Request For Payment REJECTED by BUDGET OWNER', 0.0033349213911386373), ('Request For Payment REJECTED by MISSING', 0.004287756074321105), ('Permit REJECTED by PRE_APPROVER', 0.006669842782277275), ('Permit REJECTED by ADMINISTRATION', 0.007146260123868509))",2,0.0,0,351,0
Alpha+_,BillClintonEstimator,"(('Request For Payment REJECTED by BUDGET OWNER', 0.0033349213911386373), ('Request For Payment REJECTED by MISSING', 0.004287756074321105), ('Permit REJECTED by PRE_APPROVER', 0.006669842782277275), ('Permit REJECTED by ADMINISTRATION', 0.007146260123868509))",1,0.0,0,0,0
Alpha+_,BillClintonEstimator,"(('Request For Payment REJECTED by BUDGET OWNER', 0.0033349213911386373), ('Request For Payment REJECTED by MISSING', 0.004287756074321105), ('Permit REJECTED by PRE_APPROVER', 0.006669842782277275), ('Permit REJECTED by ADMINISTRATION', 0.007146260123868509))",2,0.0,0,0,0
Alpha+_,BillClintonEstimator,"(('Request For Payment REJECTED by BUDGET OWNER', 0.0033349213911386373), ('Request For Payment REJECTED by MISSING', 0.004287756074321105), ('Permit REJECTED by PRE_APPROVER', 0.006669842782277275), ('Permit REJECTED by ADMINISTRATION', 0.007146260123868509))",3,0.0,0,0,0
Alpha+_,BillClintonEstimator,"(('Request For Payment REJECTED by BUDGET OWNER', 0.0033349213911386373), ('Request For Payment REJECTED by MISSING', 0.004287756074321105), ('Permit REJECTED by PRE_APPROVER', 0.006669842782277275), ('Permit REJECTED by ADMINISTRATION', 0.007146260123868509))",4,0.0,0,0,0
Alpha+_,AlignmentEstimator,"(('Request For Payment REJECTED by BUDGET OWNER', 0.0033349213911386373), ('Request For Payment REJECTED by MISSING', 0.004287756074321105), ('Permit REJECTED by PRE_APPROVER', 0.006669842782277275), ('Permit REJECTED by ADMINISTRATION', 0.007146260123868509))",1,0.0,0,0,0
Alpha+_,AlignmentEstimator,"(('Request For Payment REJECTED by BUDGET OWNER', 0.0033349213911386373), ('Request For Payment REJECTED by MISSING', 0.004287756074321105), ('Permit REJECTED by PRE_APPROVER', 0.006669842782277275), ('Permit REJECTED by ADMINISTRATION', 0.007146260123868509))",2,0.0,0,0,0
Alpha+_,AlignmentEstimator,"(('Request For Payment REJECTED by BUDGET OWNER', 0.0033349213911386373), ('Request For Payment REJECTED by MISSING', 0.004287756074321105), ('Permit REJECTED by PRE_APPROVER', 0.006669842782277275), ('Permit REJECTED by ADMINISTRATION', 0.007146260123868509))",3,0.0,0,0,0
