Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC
IMf20_,BillClintonEstimator,"('Permit REJECTED by MISSING', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by SUPERVISOR', 'Permit REJECTED by SUPERVISOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by BUDGET OWNER')",1,0.0,0,49
IMf20_,BillClintonEstimator,"('Permit REJECTED by MISSING', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by SUPERVISOR', 'Permit REJECTED by SUPERVISOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by BUDGET OWNER')",2,0.0,0,1224
IMf20_,AlignmentEstimator,"('Permit REJECTED by MISSING', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by SUPERVISOR', 'Permit REJECTED by SUPERVISOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by BUDGET OWNER')",1,0.0,0,46
IMf20_,AlignmentEstimator,"('Permit REJECTED by MISSING', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by SUPERVISOR', 'Permit REJECTED by SUPERVISOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by BUDGET OWNER')",2,0.0,0,1080
Alpha+_,BillClintonEstimator,"('Permit REJECTED by MISSING', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by SUPERVISOR', 'Permit REJECTED by SUPERVISOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by BUDGET OWNER')",1,0.0,0,0
Alpha+_,BillClintonEstimator,"('Permit REJECTED by MISSING', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by SUPERVISOR', 'Permit REJECTED by SUPERVISOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by BUDGET OWNER')",2,0.0,0,0
Alpha+_,BillClintonEstimator,"('Permit REJECTED by MISSING', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by SUPERVISOR', 'Permit REJECTED by SUPERVISOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by BUDGET OWNER')",3,0.0,0,0
Alpha+_,BillClintonEstimator,"('Permit REJECTED by MISSING', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by SUPERVISOR', 'Permit REJECTED by SUPERVISOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by BUDGET OWNER')",4,0.0,0,0
Alpha+_,AlignmentEstimator,"('Permit REJECTED by MISSING', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by SUPERVISOR', 'Permit REJECTED by SUPERVISOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by BUDGET OWNER')",1,0.0,0,0
Alpha+_,AlignmentEstimator,"('Permit REJECTED by MISSING', 'Request For Payment REJECTED by MISSING', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by SUPERVISOR', 'Permit REJECTED by SUPERVISOR', 'Request For Payment REJECTED by PRE_APPROVER', 'Request For Payment FINAL_APPROVED by DIRECTOR', 'Permit REJECTED by ADMINISTRATION', 'Request For Payment SAVED by EMPLOYEE', 'Request For Payment APPROVED by SUPERVISOR', 'Permit REJECTED by PRE_APPROVER', 'Permit REJECTED by EMPLOYEE', 'Permit REJECTED by BUDGET OWNER')",2,0.0,0,0
