Sensitive Activities,Background Size,Confidence Privacy
"('Request For Payment FOR_APPROVAL by ADMINISTRATION',)",1,302989.32420621335
"('Request For Payment FOR_APPROVAL by ADMINISTRATION',)",2,239153.84647832369
"('Request For Payment FOR_APPROVAL by ADMINISTRATION',)",3,174404.89250431483
"('Request For Payment FOR_APPROVAL by ADMINISTRATION',)",4,125788.44878989621
"('Request For Payment FOR_APPROVAL by SUPERVISOR',)",1,145103.36188787076
"('Request For Payment FOR_APPROVAL by SUPERVISOR',)",2,52954.7548603379
"('Request For Payment FOR_APPROVAL by SUPERVISOR',)",3,18467.63198177872
"('Request For Payment FOR_APPROVAL by SUPERVISOR',)",4,8687.641245793593
"('Request For Payment REJECTED by EMPLOYEE',)",1,0.013237136381110855
"('Request For Payment REJECTED by EMPLOYEE',)",2,0.005248703272649366
"('Request For Payment REJECTED by EMPLOYEE',)",3,0.0023062598843794206
"('Request For Payment REJECTED by EMPLOYEE',)",4,0.0014791912321236932
"('Request For Payment APPROVED by SUPERVISOR',)",1,9.677106298639947
"('Request For Payment APPROVED by SUPERVISOR',)",2,4.017627680057
"('Request For Payment APPROVED by SUPERVISOR',)",3,1.5419924038575483
"('Request For Payment APPROVED by SUPERVISOR',)",4,0.7448715406888802
"('Request For Payment REJECTED by MISSING',)",1,4.478976699297863
"('Request For Payment REJECTED by MISSING',)",2,1.545889479472698
"('Request For Payment REJECTED by MISSING',)",3,0.5121985721921344
"('Request For Payment REJECTED by MISSING',)",4,0.24180492507185286
"('Request For Payment REJECTED by BUDGET OWNER',)",1,59.212557845186126
"('Request For Payment REJECTED by BUDGET OWNER',)",2,25.0324966590807
"('Request For Payment REJECTED by BUDGET OWNER',)",3,11.967283202487975
"('Request For Payment REJECTED by BUDGET OWNER',)",4,7.582417348757664
"('Request For Payment FINAL_APPROVED by BUDGET OWNER',)",1,95099.07926408916
"('Request For Payment FINAL_APPROVED by BUDGET OWNER',)",2,42614.933756484235
"('Request For Payment FINAL_APPROVED by BUDGET OWNER',)",3,16709.277668733048
"('Request For Payment FINAL_APPROVED by BUDGET OWNER',)",4,7736.901902370938
"('Request For Payment FINAL_APPROVED by DIRECTOR',)",1,9.677106298639947
"('Request For Payment FINAL_APPROVED by DIRECTOR',)",2,4.017627680057
"('Request For Payment FINAL_APPROVED by DIRECTOR',)",3,1.5419924038575483
"('Request For Payment FINAL_APPROVED by DIRECTOR',)",4,0.7448715406888802
"('Request For Payment REJECTED by ADMINISTRATION',)",1,0.06983506457465014
"('Request For Payment REJECTED by ADMINISTRATION',)",2,0.027495142159097558
"('Request For Payment REJECTED by ADMINISTRATION',)",3,0.01180595503247479
"('Request For Payment REJECTED by ADMINISTRATION',)",4,0.007290976982082313
"('Request For Payment REJECTED by SUPERVISOR',)",1,1.3722760024570209
"('Request For Payment REJECTED by SUPERVISOR',)",2,0.6281415645575464
"('Request For Payment REJECTED by SUPERVISOR',)",3,0.3165743957389208
"('Request For Payment REJECTED by SUPERVISOR',)",4,0.20090424669931561
"('Request For Payment REJECTED by PRE_APPROVER',)",1,18.25236824365193
"('Request For Payment REJECTED by PRE_APPROVER',)",2,7.139928510256047
"('Request For Payment REJECTED by PRE_APPROVER',)",3,2.8925522783675603
"('Request For Payment REJECTED by PRE_APPROVER',)",4,1.5469552580267067
"('Request For Payment SAVED by EMPLOYEE',)",1,0.0
"('Request For Payment SAVED by EMPLOYEE',)",2,0.0
"('Request For Payment SAVED by EMPLOYEE',)",3,0.0
"('Request For Payment SAVED by EMPLOYEE',)",4,0.0
"('Request For Payment APPROVED by PRE_APPROVER',)",1,0.08054156888530942
"('Request For Payment APPROVED by PRE_APPROVER',)",2,0.027682761933726225
"('Request For Payment APPROVED by PRE_APPROVER',)",3,0.009157335859547937
"('Request For Payment APPROVED by PRE_APPROVER',)",4,0.004364411654769457
"('Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FOR_APPROVAL by SUPERVISOR')",1,320812.22563010827
"('Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FOR_APPROVAL by SUPERVISOR')",2,250542.12488205338
"('Request For Payment FOR_APPROVAL by ADMINISTRATION', 'Request For Payment FOR_APPROVAL by SUPERVISOR')",3,180030.85677864758
