Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR')",1,0.017857142857142867,0.2500000000000001,14,1.0
IMf20_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR')",2,0.0243152931258566,2.455844605711517,101,1.0
IMf20_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR')",3,0.02663050152635155,11.264702145646705,423,1.0
IMf20_,AlignmentEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR')",1,0.07058051656052972,0.988127231847416,14,1.0
IMf20_,AlignmentEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR')",2,0.05592772559997597,5.648700285597573,101,1.0000000000000002
IMf20_,AlignmentEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR')",3,0.034260038468266016,14.491996272076523,423,1.0000000000000002
Heuristic_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR')",1,0.0,0.0,0,0.0
Heuristic_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR')",2,0.0,0.0,0,0.0
Heuristic_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR')",3,0.0,0.0,0,0.0
Heuristic_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR')",4,0.0,0.0,0,0.0
Flower_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR')",1,0.00011160964259793428,0.0016741446389690142,15,0.9879518072288257
Flower_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR')",2,0.0002154441301647129,0.02585329561976555,120,0.991498300895823
