Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,0.0498968778105546,0.4490719002949914,9,1.0
IMf20_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",2,0.08163557646934629,3.5919653646512364,44,1.0
IMf20_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",3,0.10759352403126222,13.01881640778273,121,1.0
IMf20_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",4,0.1271114432231017,28.72718616842098,226,1.0
IMf20_,AlignmentEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,0.19417615573960023,1.747585401656402,9,1.0
IMf20_,AlignmentEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",2,0.2485551996427649,10.936428784281656,44,1.0
IMf20_,AlignmentEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",3,0.25610903037754607,30.989192675683075,121,1.0
IMf20_,AlignmentEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",4,0.2403254935723341,54.313561547347504,226,1.0
Heuristic_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,0.0,0.0,0,0.0
Heuristic_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",2,0.0,0.0,0,0.0
Heuristic_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",3,0.0,0.0,0,0.0
Heuristic_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",4,0.0,0.0,0,0.0
Flower_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,9.350576049038534e-07,8.41551844413468e-06,9,0.9961214165261278
Flower_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",2,1.7308243278119684e-06,7.788709475153857e-05,45,0.9964051447210313
Flower_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",3,2.51950994499704e-06,0.00032501678290461816,129,0.9965212836047858
Flower_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",4,3.2307057894501806e-06,0.000823829976309796,255,0.9965419216194213
Flower_,AlignmentEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,0.04073146913088807,0.36658322217799266,9,0.04866657694843303
Flower_,AlignmentEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",2,0.031070257717446755,1.398161597285104,45,0.06855486557964365
Flower_,AlignmentEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",3,0.020542377403701816,2.6499666850775343,129,0.0852366386712391
Flower_,AlignmentEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",4,0.013802444813285691,3.519623427387851,255,0.09657298982841786
Alpha+_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",2,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",3,0.0,0.0,0,0.0
Alpha+_,BillClintonEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",4,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Request_For_Payment_APPROVED_by_SUPERVISOR', 'Request_For_Payment_FINAL_APPROVED_by_BUDGET_OWNER', 'Request_For_Payment_FINAL_APPROVED_by_DIRECTOR', 'Request_For_Payment_FOR_APPROVAL_by_ADMINISTRATION', 'Request_For_Payment_FOR_APPROVAL_by_SUPERVISOR', 'Request_For_Payment_REJECTED_by_BUDGET_OWNER', 'Request_For_Payment_REJECTED_by_MISSING', 'Request_For_Payment_REJECTED_by_PRE_APPROVER', 'Request_For_Payment_REJECTED_by_SUPERVISOR', 'Request_For_Payment_SAVED_by_EMPLOYEE')",1,0.0,0.0,0,0.0
