Sensitive Activities,Background Size,Confidence Privacy
"('CODE NOK',)",1,5.744525551273501
"('CODE NOK',)",2,1.8478230402661993
"('CODE NOK',)",3,0.5319312808650888
"('CODE NOK',)",4,0.1946565861032121
"('EMPTY',)",1,268.27520980331093
"('EMPTY',)",2,84.20728778574455
"('EMPTY',)",3,22.876201870208195
"('EMPTY',)",4,7.81126820278117
"('SET STATUS',)",1,87.53996912670337
"('SET STATUS',)",2,26.8830869262134
"('SET STATUS',)",3,7.400697586446499
"('SET STATUS',)",4,2.6690281617641727
"('ZDBC_BEHAN',)",1,119213203.1777992
"('ZDBC_BEHAN',)",2,50465361.60237074
"('ZDBC_BEHAN',)",3,19237920.139229443
"('ZDBC_BEHAN',)",4,7947517.001693116
"('REJECT',)",1,33.65297425628459
"('REJECT',)",2,15.451551510105823
"('REJECT',)",3,6.524221437414787
"('REJECT',)",4,3.01816051989751
"('CODE ERROR',)",1,18071.05827926687
"('CODE ERROR',)",2,7143.2742629503755
"('CODE ERROR',)",3,2579.5661744489544
"('CODE ERROR',)",4,1071.3656066104609
"('REOPEN',)",1,4.4997119109367665
"('REOPEN',)",2,1.793991695856375
"('REOPEN',)",3,0.6696485114425527
"('REOPEN',)",4,0.2906357631331438
"('STORNO',)",1,17.20766322460642
"('STORNO',)",2,7.86731631172624
"('STORNO',)",3,3.317811328951733
"('STORNO',)",4,1.5407056649719095
"('JOIN-PAT',)",1,100.76956930672834
"('JOIN-PAT',)",2,61.92685573912576
"('JOIN-PAT',)",3,33.54418379053504
"('JOIN-PAT',)",4,17.782819283943585
"('MANUAL',)",1,975.5366926686186
"('MANUAL',)",2,334.9955765721078
"('MANUAL',)",3,102.21955712095202
"('MANUAL',)",4,37.71720529754514
"('CHANGE END',)",1,5082.468556403888
"('CHANGE END',)",2,1849.4151895057564
"('CHANGE END',)",3,596.1553027324283
"('CHANGE END',)",4,221.74327178195978
"('DELETE',)",1,0.00014563941275138676
"('DELETE',)",2,7.751412959268529e-05
"('DELETE',)",3,3.448988116892781e-05
"('DELETE',)",4,1.550168133802828e-05
"('CODE NOK', 'EMPTY')",1,282.5124057020229
"('CODE NOK', 'EMPTY')",2,93.92397257576329
"('CODE NOK', 'EMPTY')",3,27.156865868443077
"('CODE NOK', 'EMPTY')",4,9.84904845471579
"('CODE NOK', 'SET STATUS')",1,92.55921888089027
"('CODE NOK', 'SET STATUS')",2,30.25430580371226
"('CODE NOK', 'SET STATUS')",3,8.948702401065761
"('CODE NOK', 'SET STATUS')",4,3.4585810472248326
"('CODE NOK', 'ZDBC_BEHAN')",1,126664028.37996078
"('CODE NOK', 'ZDBC_BEHAN')",2,57167792.44208122
"('CODE NOK', 'ZDBC_BEHAN')",3,23415497.68858445
"('CODE NOK', 'ZDBC_BEHAN')",4,10327578.162245968
"('CODE NOK', 'REJECT')",1,35.756228815362036
"('CODE NOK', 'REJECT')",2,17.546632259049915
"('CODE NOK', 'REJECT')",3,8.01666190897713
"('CODE NOK', 'REJECT')",4,3.990982705913962
"('CODE NOK', 'CODE ERROR')",1,19078.45239111485
"('CODE NOK', 'CODE ERROR')",2,8023.917714556408
"('CODE NOK', 'CODE ERROR')",3,3104.0134693559207
"('CODE NOK', 'CODE ERROR')",4,1368.51076237433
"('CODE NOK', 'REOPEN')",1,7.651077768541462
"('CODE NOK', 'REOPEN')",2,3.0349422592719524
"('CODE NOK', 'REOPEN')",3,1.1307645944899958
"('CODE NOK', 'REOPEN')",4,0.502040737210687
"('CODE NOK', 'STORNO')",1,18.2831415249043
"('CODE NOK', 'STORNO')",2,8.934062777987593
"('CODE NOK', 'STORNO')",3,4.080101204228833
"('CODE NOK', 'STORNO')",4,2.044758037306949
"('CODE NOK', 'JOIN-PAT')",1,113.05045582409066
"('CODE NOK', 'JOIN-PAT')",2,72.00762292127337
"('CODE NOK', 'JOIN-PAT')",3,41.44254755055211
"('CODE NOK', 'JOIN-PAT')",4,23.475194441326707
"('CODE NOK', 'MANUAL')",1,1036.481638929916
"('CODE NOK', 'MANUAL')",2,379.64581581509873
"('CODE NOK', 'MANUAL')",3,124.97381947014618
"('CODE NOK', 'MANUAL')",4,49.43172390173055
"('CODE NOK', 'CHANGE END')",1,5399.638980551847
"('CODE NOK', 'CHANGE END')",2,2093.700293702023
"('CODE NOK', 'CHANGE END')",3,728.7823511031771
"('CODE NOK', 'CHANGE END')",4,292.47949300098725
"('CODE NOK', 'DELETE')",1,6.103263501542475
"('CODE NOK', 'DELETE')",2,2.0982525159069625
"('CODE NOK', 'DELETE')",3,0.6382698105388748
"('CODE NOK', 'DELETE')",4,0.24381383977909796
"('EMPTY', 'SET STATUS')",1,285.0849569335115
"('EMPTY', 'SET STATUS')",2,95.28172432922574
"('EMPTY', 'SET STATUS')",3,27.460523992803864
"('EMPTY', 'SET STATUS')",4,9.906373802717273
"('EMPTY', 'ZDBC_BEHAN')",1,126664030.90993997
"('EMPTY', 'ZDBC_BEHAN')",2,55435436.32171081
"('EMPTY', 'ZDBC_BEHAN')",3,21279756.24635479
"('EMPTY', 'ZDBC_BEHAN')",4,8736946.884786814
"('EMPTY', 'REJECT')",1,303.85176614140516
"('EMPTY', 'REJECT')",2,106.58785074037709
"('EMPTY', 'REJECT')",3,33.34811372116629
"('EMPTY', 'REJECT')",4,12.950275389102964
"('EMPTY', 'CODE ERROR')",1,19200.490865498556
"('EMPTY', 'CODE ERROR')",2,7834.553415009318
"('EMPTY', 'CODE ERROR')",3,2845.249070318213
"('EMPTY', 'CODE ERROR')",4,1171.538387774043
"('EMPTY', 'REOPEN')",1,286.59341825585955
"('EMPTY', 'REOPEN')",2,96.15869475000467
"('EMPTY', 'REOPEN')",3,28.200233905072945
"('EMPTY', 'REOPEN')",4,10.423557442756085
"('EMPTY', 'STORNO')",1,294.5861926779146
"('EMPTY', 'STORNO')",2,100.98714594838685
"('EMPTY', 'STORNO')",3,30.700489834310783
"('EMPTY', 'STORNO')",4,11.744902507378248
"('EMPTY', 'JOIN-PAT')",1,391.9898469522916
"('EMPTY', 'JOIN-PAT')",2,161.270523924576
"('EMPTY', 'JOIN-PAT')",3,63.223098773183885
"('EMPTY', 'JOIN-PAT')",4,28.606790562165386
"('EMPTY', 'MANUAL')",1,1039.0148114938402
"('EMPTY', 'MANUAL')",2,371.70642514282054
"('EMPTY', 'MANUAL')",3,115.1174045052565
"('EMPTY', 'MANUAL')",4,42.40389713003987
"('EMPTY', 'CHANGE END')",1,5402.172483282285
"('EMPTY', 'CHANGE END')",2,2044.363163790099
"('EMPTY', 'CHANGE END')",3,667.2357139699994
"('EMPTY', 'CHANGE END')",4,247.05063079519982
"('EMPTY', 'DELETE')",1,285.0425643828323
"('EMPTY', 'DELETE')",2,95.25095108197912
"('EMPTY', 'DELETE')",3,27.389533121214814
"('EMPTY', 'DELETE')",4,9.746678427026557
"('SET STATUS', 'ZDBC_BEHAN')",1,126664028.86492983
"('SET STATUS', 'ZDBC_BEHAN')",2,56724631.508025646
"('SET STATUS', 'ZDBC_BEHAN')",3,22751228.354515288
"('SET STATUS', 'ZDBC_BEHAN')",4,9865537.848238064
"('SET STATUS', 'REJECT')",1,111.77801547775198
"('SET STATUS', 'REJECT')",2,42.08900637206331
"('SET STATUS', 'REJECT')",3,15.011420100607781
"('SET STATUS', 'REJECT')",4,6.59977555015759
"('SET STATUS', 'CODE ERROR')",1,19200.160059543367
"('SET STATUS', 'CODE ERROR')",2,8028.608957168031
"('SET STATUS', 'CODE ERROR')",3,3056.9762450187322
"('SET STATUS', 'CODE ERROR')",4,1336.3235859064703
"('SET STATUS', 'REOPEN')",1,94.54417933612643
"('SET STATUS', 'REOPEN')",2,31.417017096306523
"('SET STATUS', 'REOPEN')",3,9.538299865479626
"('SET STATUS', 'REOPEN')",4,3.796362473894604
"('SET STATUS', 'STORNO')",1,102.51244888241708
"('SET STATUS', 'STORNO')",2,36.34711108827715
"('SET STATUS', 'STORNO')",3,12.090351516172122
"('SET STATUS', 'STORNO')",4,5.1288065530640905
"('SET STATUS', 'JOIN-PAT')",1,199.9254431523642
"('SET STATUS', 'JOIN-PAT')",2,98.89634577390794
"('SET STATUS', 'JOIN-PAT')",3,47.75634776618714
"('SET STATUS', 'JOIN-PAT')",4,24.963499496788003
"('SET STATUS', 'MANUAL')",1,1036.9399493148026
"('SET STATUS', 'MANUAL')",2,376.7541488028324
"('SET STATUS', 'MANUAL')",3,122.55552692491817
"('SET STATUS', 'MANUAL')",4,48.49495589212357
"('SET STATUS', 'CHANGE END')",1,5399.965642042141
"('SET STATUS', 'CHANGE END')",2,2076.733186728842
"('SET STATUS', 'CHANGE END')",3,704.6267850517904
"('SET STATUS', 'CHANGE END')",4,274.8874828847671
"('SET STATUS', 'DELETE')",1,93.01121719712235
"('SET STATUS', 'DELETE')",2,30.497613623614072
"('SET STATUS', 'DELETE')",3,8.850314717547143
"('SET STATUS', 'DELETE')",4,3.306558890531154
"('ZDBC_BEHAN', 'REJECT')",1,126664036.12666388
"('ZDBC_BEHAN', 'REJECT')",2,57167797.50038349
"('ZDBC_BEHAN', 'REJECT')",3,23415500.42894455
"('ZDBC_BEHAN', 'REJECT')",4,10465648.834668938
"('ZDBC_BEHAN', 'CODE ERROR')",1,126664539.0395285
"('ZDBC_BEHAN', 'CODE ERROR')",2,56288654.13659885
"('ZDBC_BEHAN', 'CODE ERROR')",3,22394098.47716714
"('ZDBC_BEHAN', 'CODE ERROR')",4,9646835.46420976
"('ZDBC_BEHAN', 'REOPEN')",1,126664029.3029261
"('ZDBC_BEHAN', 'REOPEN')",2,57167792.97048702
"('ZDBC_BEHAN', 'REOPEN')",3,23415497.944991887
"('ZDBC_BEHAN', 'REOPEN')",4,10430785.2651544
"('ZDBC_BEHAN', 'STORNO')",1,126664032.23702517
"('ZDBC_BEHAN', 'STORNO')",2,57167794.958168305
"('ZDBC_BEHAN', 'STORNO')",3,23501270.10768308
"('ZDBC_BEHAN', 'STORNO')",4,10585942.910529781
"('ZDBC_BEHAN', 'JOIN-PAT')",1,126664029.00848624
"('ZDBC_BEHAN', 'JOIN-PAT')",2,55435444.61253516
"('ZDBC_BEHAN', 'JOIN-PAT')",3,21493632.627553333
"('ZDBC_BEHAN', 'JOIN-PAT')",4,8921151.633912856
"('ZDBC_BEHAN', 'MANUAL')",1,126664029.24920349
"('ZDBC_BEHAN', 'MANUAL')",2,56288288.525282875
"('ZDBC_BEHAN', 'MANUAL')",3,22238635.913979415
"('ZDBC_BEHAN', 'MANUAL')",4,9471632.664078128
"('ZDBC_BEHAN', 'CHANGE END')",1,126664241.05665022
"('ZDBC_BEHAN', 'CHANGE END')",2,55858669.97356099
"('ZDBC_BEHAN', 'CHANGE END')",3,21822627.08535162
"('ZDBC_BEHAN', 'CHANGE END')",4,9092116.146819644
"('ZDBC_BEHAN', 'DELETE')",1,126664028.37656641
"('ZDBC_BEHAN', 'DELETE')",2,57167792.44026675
"('ZDBC_BEHAN', 'DELETE')",3,22954727.608024795
"('ZDBC_BEHAN', 'DELETE')",4,9822213.60938553
"('REJECT', 'CODE ERROR')",1,19194.640017946516
"('REJECT', 'CODE ERROR')",2,8090.472779651235
"('REJECT', 'CODE ERROR')",3,3141.7221991637434
"('REJECT', 'CODE ERROR')",4,1411.5974813312673
"('REJECT', 'REOPEN')",1,35.692196220523684
"('REJECT', 'REOPEN')",2,17.498150547538316
"('REJECT', 'REOPEN')",3,7.984684435971872
"('REJECT', 'REOPEN')",4,4.015674720499294
"('REJECT', 'STORNO')",1,35.641216184559326
"('REJECT', 'STORNO')",2,17.453000186418375
"('REJECT', 'STORNO')",3,7.9516636007974775
"('REJECT', 'STORNO')",4,4.00699385991092
"('REJECT', 'JOIN-PAT')",1,141.25759857104
"('REJECT', 'JOIN-PAT')",2,85.72300706161447
"('REJECT', 'JOIN-PAT')",3,47.33727274749242
"('REJECT', 'JOIN-PAT')",4,26.45285388590637
"('REJECT', 'MANUAL')",1,1045.407764396309
"('REJECT', 'MANUAL')",2,385.85206818054723
"('REJECT', 'MANUAL')",3,127.97481398389161
"('REJECT', 'MANUAL')",4,51.53301802596242
"('REJECT', 'CHANGE END')",1,5407.0396798517095
"('REJECT', 'CHANGE END')",2,2097.605940421392
"('REJECT', 'CHANGE END')",3,728.8698714364048
"('REJECT', 'CHANGE END')",4,294.7978137958339
"('REJECT', 'DELETE')",1,35.745070552812216
"('REJECT', 'DELETE')",2,17.54314187369599
"('REJECT', 'DELETE')",3,7.861376779655704
"('REJECT', 'DELETE')",4,3.799010429543087
"('CODE ERROR', 'REOPEN')",1,19059.205991753588
"('CODE ERROR', 'REOPEN')",2,7998.45174116862
"('CODE ERROR', 'REOPEN')",3,3081.5011259820753
"('CODE ERROR', 'REOPEN')",4,1367.913965703058
"('CODE ERROR', 'STORNO')",1,19186.580383447203
"('CODE ERROR', 'STORNO')",2,8084.4342643403625
"('CODE ERROR', 'STORNO')",3,3150.968543965176
"('CODE ERROR', 'STORNO')",4,1428.719508001305
"('CODE ERROR', 'JOIN-PAT')",1,19200.748160187733
"('CODE ERROR', 'JOIN-PAT')",2,7898.319601359357
"('CODE ERROR', 'JOIN-PAT')",3,2927.5000794529897
"('CODE ERROR', 'JOIN-PAT')",4,1232.0013631838076
"('CODE ERROR', 'MANUAL')",1,19200.495136603095
"('CODE ERROR', 'MANUAL')",2,7962.993081030198
"('CODE ERROR', 'MANUAL')",3,2979.145528498409
"('CODE ERROR', 'MANUAL')",4,1272.825239123693
"('CODE ERROR', 'CHANGE END')",1,19389.659947731845
"('CODE ERROR', 'CHANGE END')",2,8013.276731357495
"('CODE ERROR', 'CHANGE END')",3,2991.457800220752
"('CODE ERROR', 'CHANGE END')",4,1265.5830150233232
"('CODE ERROR', 'DELETE')",1,19200.499421721048
"('CODE ERROR', 'DELETE')",2,8095.710774310756
"('CODE ERROR', 'DELETE')",3,3113.4517031581254
"('CODE ERROR', 'DELETE')",4,1364.2330364300467
"('REOPEN', 'STORNO')",1,18.274342534353227
"('REOPEN', 'STORNO')",2,8.92326422409763
"('REOPEN', 'STORNO')",3,4.063085170093918
"('REOPEN', 'STORNO')",4,2.0501333543663653
"('REOPEN', 'JOIN-PAT')",1,111.50684208630452
"('REOPEN', 'JOIN-PAT')",2,71.77896285260093
"('REOPEN', 'JOIN-PAT')",3,41.40923548053336
"('REOPEN', 'JOIN-PAT')",4,23.641308574341853
"('REOPEN', 'MANUAL')",1,1037.154045839954
"('REOPEN', 'MANUAL')",2,379.9874285935284
"('REOPEN', 'MANUAL')",3,124.8423586588592
"('REOPEN', 'MANUAL')",4,49.70092876163471
"('REOPEN', 'CHANGE END')",1,5389.6412426892175
"('REOPEN', 'CHANGE END')",2,2086.0865360984903
"('REOPEN', 'CHANGE END')",3,725.4391051985813
"('REOPEN', 'CHANGE END')",4,293.62223169537197
"('REOPEN', 'DELETE')",1,4.770876754770582
