Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",1,0.2212009300789815,3.096813021105741,14,0.6578947368421053
IMf20_,BillClintonEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",2,0.23886228596747885,23.408504024812927,98,0.6578947368421055
IMf20_,AlignmentEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",1,0.05691763289854792,0.7968468605796709,14,0.0013271400132714008
IMf20_,AlignmentEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",2,0.03745077956884913,3.670176397747215,98,0.0013271400132714008
Heuristic_,BillClintonEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",1,0.0,0.0,0,0.0
Heuristic_,BillClintonEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",2,0.0,0.0,0,0.0
Heuristic_,BillClintonEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",3,0.0,0.0,0,0.0
Heuristic_,BillClintonEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",4,0.0,0.0,0,0.0
Flower_,BillClintonEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",1,1.035486268387501e-06,1.4496807757425014e-05,14,0.998578663181335
Flower_,BillClintonEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",2,1.973100921631908e-06,0.00020717559677135033,105,0.9989688383468673
Flower_,BillClintonEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",3,2.9482909929017366e-06,0.0013827484756709144,469,0.9990820368396137
Flower_,BillClintonEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",4,3.910442656305931e-06,0.0057483507047697184,1470,0.9990898924482665
Flower_,AlignmentEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",1,0.025181285555481207,0.3525379977767369,14,0.007108606584041158
Flower_,AlignmentEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",2,0.01185402376834325,1.2446724956760413,105,0.010620390740513562
Flower_,AlignmentEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",3,0.004746951383961328,2.226320199077863,469,0.014086705549189981
Flower_,AlignmentEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",4,0.001929420909346002,2.836248736738623,1470,0.017408475530173127
Alpha+_,BillClintonEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",1,0.0,0.0,1,0.0
Alpha+_,BillClintonEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",2,0.0,0.0,1,0.0
Alpha+_,BillClintonEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",3,0.0,0.0,1,0.0
Alpha+_,BillClintonEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",4,0.0,0.0,1,0.0
Alpha+_,AlignmentEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",1,0.0,0.0,1,0.0
Alpha+_,AlignmentEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",2,0.0,0.0,1,0.0
Alpha+_,AlignmentEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",3,0.0,0.0,1,0.0
Alpha+_,AlignmentEstimator,"('CHANGE_END', 'CODE_ERROR', 'JOIN-PAT', 'ZDBC_BEHAN')",4,0.0,0.0,1,0.0
