Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",1,0.18056405490442898,2.5278967686620057,14,0.9998784342329201
IMf20_,BillClintonEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",2,0.16844670599278705,16.339330481300344,97,0.9998784342329203
IMf20_,AlignmentEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",1,0.056894053556107084,0.7965167497854991,14,0.024945316916119845
IMf20_,AlignmentEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",2,0.037811864785174024,3.6677508841618804,97,0.024945316916119845
Alpha+_,BillClintonEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",1,0.0,0.0,1,0.0
Alpha+_,BillClintonEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",2,0.0,0.0,1,0.0
Alpha+_,BillClintonEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",3,0.0,0.0,1,0.0
Alpha+_,BillClintonEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",4,0.0,0.0,1,0.0
Alpha+_,AlignmentEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",1,0.0,0.0,1,0.0
Alpha+_,AlignmentEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",2,0.0,0.0,1,0.0
Alpha+_,AlignmentEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",3,0.0,0.0,1,0.0
Alpha+_,AlignmentEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",4,0.0,0.0,1,0.0
Heuristic_,BillClintonEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",1,0.0,0.0,0,0.0
Heuristic_,BillClintonEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",2,0.0,0.0,0,0.0
Heuristic_,BillClintonEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",3,0.0,0.0,0,0.0
Heuristic_,BillClintonEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",4,0.0,0.0,0,0.0
Flower_,BillClintonEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",1,0.04507217609317595,0.6310104653044634,14,0.036445409429280394
Flower_,BillClintonEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",2,0.009416191810406876,0.988700140092722,105,0.0546681141439206
Flower_,BillClintonEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",3,0.0025025989092902945,1.1737188884571481,469,0.07289081885856082
Flower_,AlignmentEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",1,0.024975568629111412,0.3496579608075598,14,0.029835370421086808
Flower_,AlignmentEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",2,0.004680610586593249,0.49146411159229114,105,0.04475305563163021
Flower_,AlignmentEstimator,"('DELETE', 'REOPEN', 'REJECT', 'JOIN-PAT')",3,0.0011561085788389467,0.542214923475466,469,0.05967074084217363
