Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('JOIN-PAT', 'SET STATUS', 'MANUAL', 'REOPEN', 'ZDBC_BEHAN', 'REJECT', 'CHANGE END', 'STORNO', 'CODE ERROR', 'CODE NOK', 'EMPTY')",1,0.20023150993640784,2.2025466093004864,11,0.9997858672376876
IMf20_,BillClintonEstimator,"('JOIN-PAT', 'SET STATUS', 'MANUAL', 'REOPEN', 'ZDBC_BEHAN', 'REJECT', 'CHANGE END', 'STORNO', 'CODE ERROR', 'CODE NOK', 'EMPTY')",2,0.19748065340317086,12.836242471206106,65,0.9997858672376878
IMf20_,AlignmentEstimator,"('JOIN-PAT', 'SET STATUS', 'MANUAL', 'REOPEN', 'ZDBC_BEHAN', 'REJECT', 'CHANGE END', 'STORNO', 'CODE ERROR', 'CODE NOK', 'EMPTY')",1,0.07240932668637316,0.7965025935501048,11,0.024945316916119845
IMf20_,AlignmentEstimator,"('JOIN-PAT', 'SET STATUS', 'MANUAL', 'REOPEN', 'ZDBC_BEHAN', 'REJECT', 'CHANGE END', 'STORNO', 'CODE ERROR', 'CODE NOK', 'EMPTY')",2,0.05642700422343585,3.6677552745233304,65,0.024945316916119845
Alpha+_,BillClintonEstimator,"('JOIN-PAT', 'SET STATUS', 'MANUAL', 'REOPEN', 'ZDBC_BEHAN', 'REJECT', 'CHANGE END', 'STORNO', 'CODE ERROR', 'CODE NOK', 'EMPTY')",1,0.0,0.0,1,0.0
Alpha+_,BillClintonEstimator,"('JOIN-PAT', 'SET STATUS', 'MANUAL', 'REOPEN', 'ZDBC_BEHAN', 'REJECT', 'CHANGE END', 'STORNO', 'CODE ERROR', 'CODE NOK', 'EMPTY')",2,0.0,0.0,1,0.0
Alpha+_,BillClintonEstimator,"('JOIN-PAT', 'SET STATUS', 'MANUAL', 'REOPEN', 'ZDBC_BEHAN', 'REJECT', 'CHANGE END', 'STORNO', 'CODE ERROR', 'CODE NOK', 'EMPTY')",3,0.0,0.0,1,0.0
Alpha+_,BillClintonEstimator,"('JOIN-PAT', 'SET STATUS', 'MANUAL', 'REOPEN', 'ZDBC_BEHAN', 'REJECT', 'CHANGE END', 'STORNO', 'CODE ERROR', 'CODE NOK', 'EMPTY')",4,0.0,0.0,1,0.0
Alpha+_,AlignmentEstimator,"('JOIN-PAT', 'SET STATUS', 'MANUAL', 'REOPEN', 'ZDBC_BEHAN', 'REJECT', 'CHANGE END', 'STORNO', 'CODE ERROR', 'CODE NOK', 'EMPTY')",1,0.0,0.0,1,0.0
Alpha+_,AlignmentEstimator,"('JOIN-PAT', 'SET STATUS', 'MANUAL', 'REOPEN', 'ZDBC_BEHAN', 'REJECT', 'CHANGE END', 'STORNO', 'CODE ERROR', 'CODE NOK', 'EMPTY')",2,0.0,0.0,1,0.0
Alpha+_,AlignmentEstimator,"('JOIN-PAT', 'SET STATUS', 'MANUAL', 'REOPEN', 'ZDBC_BEHAN', 'REJECT', 'CHANGE END', 'STORNO', 'CODE ERROR', 'CODE NOK', 'EMPTY')",3,0.0,0.0,1,0.0
Alpha+_,AlignmentEstimator,"('JOIN-PAT', 'SET STATUS', 'MANUAL', 'REOPEN', 'ZDBC_BEHAN', 'REJECT', 'CHANGE END', 'STORNO', 'CODE ERROR', 'CODE NOK', 'EMPTY')",4,0.0,0.0,1,0.0
