Sensitive Activity,Background Size,Function,Background Odds,Percentage,Absolute,Confidence Privacy
REJECT,1,basic,True,True,True,0.18314514625522338
REJECT,1,basic,True,True,False,0.18300901639344258
REJECT,1,basic,True,False,True,0.0033515561764705885
REJECT,1,basic,True,False,False,0.003349065
REJECT,1,basic,False,True,True,5.661818598075225
REJECT,1,basic,False,True,False,5.572807624011643
REJECT,1,basic,False,False,True,0.10361128034477661
REJECT,1,basic,False,False,False,0.10198237951941307
REJECT,1,quadratic,True,True,True,0.09555779973802547
REJECT,1,quadratic,True,True,False,0.09555748741609044
REJECT,1,quadratic,True,False,True,3.200135155426735e-05
REJECT,1,quadratic,True,False,False,3.2001246960774524e-05
REJECT,1,quadratic,False,True,True,123.35185021486929
REJECT,1,quadratic,False,True,False,123.2775348946092
REJECT,1,quadratic,False,False,True,0.04130930111845758
REJECT,1,quadratic,False,False,False,0.04128441366085568
REJECT,1,cubic,True,True,True,0.06844634280025082
REJECT,1,cubic,True,True,False,0.06844634208060972
REJECT,1,cubic,True,False,True,4.194725220488808e-07
REJECT,1,cubic,True,False,False,4.1947251763856973e-07
REJECT,1,cubic,False,True,True,3849.883619383694
REJECT,1,cubic,False,True,False,3849.8168456754433
REJECT,1,cubic,False,False,True,0.023593961712905925
REJECT,1,cubic,False,False,False,0.023593552491102964
REJECT,2,basic,True,True,True,0.1261223305777403
REJECT,2,basic,True,True,False,0.12603461024706922
REJECT,2,basic,True,False,True,0.002308038649572649
REJECT,2,basic,True,False,False,0.002306433367521368
REJECT,2,basic,False,True,True,13.161685037289722
REJECT,2,basic,False,True,False,13.015002724601276
REJECT,2,basic,False,False,True,0.24085883618240195
REJECT,2,basic,False,False,False,0.23817454986020342
REJECT,2,quadratic,True,True,True,0.0674130520667796
REJECT,2,quadratic,True,True,False,0.06741285312011205
REJECT,2,quadratic,True,False,True,2.2575957006643785e-05
REJECT,2,quadratic,True,False,False,2.2575890381394306e-05
REJECT,2,quadratic,False,True,True,406.0515432797463
REJECT,2,quadratic,False,True,False,405.91327573773486
REJECT,2,quadratic,False,False,True,0.13598260132895432
REJECT,2,quadratic,False,False,False,0.13593629691181014
REJECT,2,cubic,True,True,True,0.049308353352246
REJECT,2,cubic,True,True,False,0.04930835287015127
REJECT,2,cubic,True,False,True,3.021856025106461e-07
REJECT,2,cubic,True,False,False,3.021855995561348e-07
REJECT,2,cubic,False,True,True,15832.682637782014
REJECT,2,cubic,False,True,False,15832.548907734708
REJECT,2,cubic,False,False,True,0.09703038972077277
REJECT,2,cubic,False,False,False,0.0970295701579164
REJECT,3,basic,True,True,True,0.07741019227347823
REJECT,3,basic,True,True,False,0.07736876299402723
REJECT,3,basic,True,False,True,0.0014166065186046529
REJECT,3,basic,True,False,False,0.0014158483627906987
REJECT,3,basic,False,True,True,19.335855965915485
REJECT,3,basic,False,True,False,19.15351556498721
REJECT,3,basic,False,False,True,0.3538461641762546
