Sensitive Activity,Background Size,Function,Background Odds,Percentage,Absolute,Confidence Privacy
CHANGE DIAGN,1,basic,True,True,True,0.0726305612382496
CHANGE DIAGN,1,basic,True,True,False,0.06970331424170556
CHANGE DIAGN,1,basic,True,False,True,0.030732895682352934
CHANGE DIAGN,1,basic,True,False,False,0.02949426038823529
CHANGE DIAGN,1,basic,False,True,True,0.44517624744213247
CHANGE DIAGN,1,basic,False,True,False,0.3289771570419231
CHANGE DIAGN,1,basic,False,False,True,0.18837187734266395
CHANGE DIAGN,1,basic,False,False,False,0.13920339423071937
CHANGE DIAGN,1,quadratic,True,True,True,0.01939985982716792
CHANGE DIAGN,1,quadratic,True,True,False,0.01932991033843107
CHANGE DIAGN,1,quadratic,True,False,True,0.003473495618650512
CHANGE DIAGN,1,quadratic,True,False,False,0.0034609713403918607
CHANGE DIAGN,1,quadratic,False,True,True,0.309516986628606
CHANGE DIAGN,1,quadratic,False,True,False,0.23683171529647845
CHANGE DIAGN,1,quadratic,False,False,True,0.055418230158899066
CHANGE DIAGN,1,quadratic,False,False,False,0.04240411697654493
CHANGE DIAGN,1,cubic,True,True,True,0.005574147169199217
CHANGE DIAGN,1,cubic,True,True,False,0.0055722018999342935
CHANGE DIAGN,1,cubic,True,False,True,0.0004223093296691499
CHANGE DIAGN,1,cubic,True,False,False,0.00042216195190276527
CHANGE DIAGN,1,cubic,False,True,True,0.27582019817656495
CHANGE DIAGN,1,cubic,False,True,False,0.2204210611008361
CHANGE DIAGN,1,cubic,False,False,True,0.02089672903593089
CHANGE DIAGN,1,cubic,False,False,False,0.01669957174306712
CHANGE DIAGN,2,basic,True,True,True,0.02859407985536703
CHANGE DIAGN,2,basic,True,True,False,0.027604605673837466
CHANGE DIAGN,2,basic,True,False,True,0.012099298950000002
CHANGE DIAGN,2,basic,True,False,False,0.011680612844827586
CHANGE DIAGN,2,basic,False,True,True,0.5701006349093138
CHANGE DIAGN,2,basic,False,True,False,0.39496809642769887
CHANGE DIAGN,2,basic,False,False,True,0.24123238265552713
CHANGE DIAGN,2,basic,False,False,False,0.16712680032241642
CHANGE DIAGN,2,quadratic,True,True,True,0.007578888318506253
CHANGE DIAGN,2,quadratic,True,True,False,0.00756389562812194
CHANGE DIAGN,2,quadratic,True,False,True,0.0013569807000206604
CHANGE DIAGN,2,quadratic,True,False,False,0.0013542962968947797
CHANGE DIAGN,2,quadratic,False,True,True,0.4640460910229951
CHANGE DIAGN,2,quadratic,False,True,False,0.3313489312243439
CHANGE DIAGN,2,quadratic,False,False,True,0.08308627373497769
CHANGE DIAGN,2,quadratic,False,False,False,0.05932718437689395
CHANGE DIAGN,2,cubic,True,True,True,0.0022388760673987427
CHANGE DIAGN,2,cubic,True,True,False,0.002238534572247087
CHANGE DIAGN,2,cubic,True,False,True,0.0001696220466621257
CHANGE DIAGN,2,cubic,True,False,False,0.00016959617425793482
CHANGE DIAGN,2,cubic,False,True,True,0.447499070301808
CHANGE DIAGN,2,cubic,False,True,False,0.3308893069527611
CHANGE DIAGN,2,cubic,False,False,True,0.033903488133750465
CHANGE DIAGN,2,cubic,False,False,False,0.02506888267788324
CHANGE DIAGN,3,basic,True,True,True,0.00889818526589727
CHANGE DIAGN,3,basic,True,True,False,0.008575817330934838
CHANGE DIAGN,3,basic,True,False,True,0.0037651781134117636
CHANGE DIAGN,3,basic,True,False,False,0.003628771345411761
CHANGE DIAGN,3,basic,False,True,True,0.6916692889314086
CHANGE DIAGN,3,basic,False,True,False,0.48071963216280045
CHANGE DIAGN,3,basic,False,False,True,0.2926729429184356
CHANGE DIAGN,3,basic,False,False,False,0.20341170515336668
CHANGE DIAGN,3,quadratic,True,True,True,0.002193525011654314
CHANGE DIAGN,3,quadratic,True,True,False,0.0021913217687805405
CHANGE DIAGN,3,quadratic,True,False,True,0.0003927450809057651
CHANGE DIAGN,3,quadratic,True,False,False,0.00039235059586633427
CHANGE DIAGN,3,quadratic,False,True,True,0.6431303762911169
CHANGE DIAGN,3,quadratic,False,True,False,0.4658493487450933
CHANGE DIAGN,3,quadratic,False,False,True,0.11515086006651641
CHANGE DIAGN,3,quadratic,False,False,False,0.08340914244912319
CHANGE DIAGN,3,cubic,True,True,True,0.0006612673950529294
CHANGE DIAGN,3,cubic,True,True,False,0.0006612430034698788
CHANGE DIAGN,3,cubic,True,False,True,5.009903432043511e-05
CHANGE DIAGN,3,cubic,True,False,False,5.0097186361855e-05
CHANGE DIAGN,3,cubic,False,True,True,0.6818706243274996
CHANGE DIAGN,3,cubic,False,True,False,0.5171832570624039
CHANGE DIAGN,3,cubic,False,False,True,0.05165997910352969
CHANGE DIAGN,3,cubic,False,False,False,0.039182911390103915
CHANGE DIAGN,4,basic,True,True,True,0.0025870649767490823
CHANGE DIAGN,4,basic,True,True,False,0.002457194159138562
CHANGE DIAGN,4,basic,True,False,True,0.0010946906742616022
CHANGE DIAGN,4,basic,True,False,False,0.001039737136497891
CHANGE DIAGN,4,basic,False,True,True,0.80143143668607
CHANGE DIAGN,4,basic,False,True,False,0.5664348320798597
CHANGE DIAGN,4,basic,False,False,True,0.33911769811934644
CHANGE DIAGN,4,basic,False,False,False,0.23968123484627424
CHANGE DIAGN,4,quadratic,True,True,True,0.0005103914516139525
CHANGE DIAGN,4,quadratic,True,True,False,0.0005098834014937504
CHANGE DIAGN,4,quadratic,True,False,True,9.13842928130345e-05
CHANGE DIAGN,4,quadratic,True,False,False,9.129332772966271e-05
CHANGE DIAGN,4,quadratic,False,True,True,0.8123790869678027
CHANGE DIAGN,4,quadratic,False,True,False,0.6031777820484698
CHANGE DIAGN,4,quadratic,False,False,True,0.1454544117537538
CHANGE DIAGN,4,quadratic,False,False,False,0.10799744956294181
CHANGE DIAGN,4,cubic,True,True,True,0.0001542965391846465
CHANGE DIAGN,4,cubic,True,True,False,0.00015429207609428226
CHANGE DIAGN,4,cubic,True,False,True,1.16898363203243e-05
CHANGE DIAGN,4,cubic,True,False,False,1.1689498187038117e-05
CHANGE DIAGN,4,cubic,False,True,True,0.9117235883986367
CHANGE DIAGN,4,cubic,False,True,False,0.7119520296129531
CHANGE DIAGN,4,cubic,False,False,True,0.06907413201928328
CHANGE DIAGN,4,cubic,False,False,False,0.05393901080398455
DELETE,1,basic,True,True,True,0.1442311122877566
DELETE,1,basic,True,True,False,0.008548743604971485
DELETE,1,basic,True,False,True,0.011857239741176471
DELETE,1,basic,True,False,False,0.0007027922117647057
DELETE,1,basic,False,True,True,0.8613181979281307
DELETE,1,basic,False,True,False,0.4367321759123122
DELETE,1,basic,False,False,True,0.07080896905167162
DELETE,1,basic,False,False,False,0.03590375218175119
DELETE,1,quadratic,True,True,True,0.06977050363616005
DELETE,1,quadratic,True,True,False,0.0006209571536159478
DELETE,1,quadratic,True,False,True,0.00047154283947397984
DELETE,1,quadratic,True,False,False,4.196729049494641e-06
DELETE,1,quadratic,False,True,True,1.2139462598733886
DELETE,1,quadratic,False,True,False,0.8775374280159632
DELETE,1,quadratic,False,False,True,0.008204436495608767
DELETE,1,quadratic,False,False,False,0.005930822754400783
DELETE,1,cubic,True,True,True,0.03696243173199358
DELETE,1,cubic,True,True,False,5.793490094069622e-05
DELETE,1,cubic,True,False,True,2.0536880688460335e-05
DELETE,1,cubic,True,False,False,3.2189498703544154e-08
DELETE,1,cubic,False,True,True,2.36167893398499
DELETE,1,cubic,False,True,False,2.082066911386178
DELETE,1,cubic,False,False,True,0.001312184188620861
DELETE,1,cubic,False,False,False,0.0011568275608749522
DELETE,2,basic,True,True,True,0.06726730516074636
DELETE,2,basic,True,True,False,0.005935907312625472
DELETE,2,basic,True,False,True,0.005530045157264959
DELETE,2,basic,True,False,False,0.00048799094017094006
DELETE,2,basic,False,True,True,1.089489860877209
DELETE,2,basic,False,True,False,0.5687388090923543
DELETE,2,basic,False,False,True,0.08956696146271531
DELETE,2,basic,False,False,False,0.04675601749548246
DELETE,2,quadratic,True,True,True,0.031043367836094248
DELETE,2,quadratic,True,True,False,0.00032902910890634607
DELETE,2,quadratic,True,False,True,0.00020980610793069446
DELETE,2,quadratic,True,False,False,2.223738000980708e-06
DELETE,2,quadratic,False,True,True,2.912538282229249
DELETE,2,quadratic,False,True,False,2.4581436791682005
DELETE,2,quadratic,False,False,True,0.019684343671087713
DELETE,2,quadratic,False,False,False,0.016613324971173786
DELETE,2,cubic,True,True,True,0.016213542948580618
DELETE,2,cubic,True,True,False,2.6369831398128553e-05
DELETE,2,cubic,True,False,True,9.008487306423987e-06
DELETE,2,cubic,True,False,False,1.4651473288469498e-08
DELETE,2,cubic,False,True,True,18.359294951970686
DELETE,2,cubic,False,True,False,17.94701632059661
DELETE,2,cubic,False,False,True,0.01020069925828276
DELETE,2,cubic,False,False,False,0.00997163107563929
DELETE,3,basic,True,True,True,0.025104528400664034
DELETE,3,basic,True,True,False,0.003371544962144124
DELETE,3,basic,True,False,True,0.002063843279818594
DELETE,3,basic,True,False,False,0.00027717471133786853
DELETE,3,basic,False,True,True,1.1325490303862003
DELETE,3,basic,False,True,False,0.5371325233187112
DELETE,3,basic,False,False,True,0.0931068557880497
DELETE,3,basic,False,False,False,0.04415766474203125
DELETE,3,quadratic,True,True,True,0.010564544558713218
DELETE,3,quadratic,True,True,False,0.0001349933642127643
DELETE,3,quadratic,True,False,True,7.140030642380467e-05
DELETE,3,quadratic,True,False,False,9.123505056374764e-07
DELETE,3,quadratic,False,True,True,3.0095727552774325
DELETE,3,quadratic,False,True,False,2.464397295720638
DELETE,3,quadratic,False,False,True,0.020340149614335737
DELETE,3,quadratic,False,False,False,0.016655589939210933
DELETE,3,cubic,True,True,True,0.005373213112821674
DELETE,3,cubic,True,True,False,8.388228145578728e-06
DELETE,3,cubic,True,False,True,2.9854376847228517e-06
DELETE,3,cubic,True,False,False,4.660625195398743e-09
DELETE,3,cubic,False,True,True,18.793413086913695
DELETE,3,cubic,False,True,False,18.278013920827487
DELETE,3,cubic,False,False,True,0.010441901796218176
DELETE,3,cubic,False,False,False,0.010155538299963619
DELETE,4,basic,True,True,True,0.008579683427143317
DELETE,4,basic,True,True,False,0.001832354420846605
DELETE,4,basic,True,False,True,0.0007053357745454544
DELETE,4,basic,True,False,False,0.00015063785693779908
DELETE,4,basic,False,True,True,1.114084258850429
DELETE,4,basic,False,True,False,0.43874645753683655
DELETE,4,basic,False,False,True,0.09158886692009481
DELETE,4,basic,False,False,False,0.03606934627410328
DELETE,4,quadratic,True,True,True,0.0030291469193504724
DELETE,4,quadratic,True,True,False,5.335479458015422e-05
DELETE,4,quadratic,True,False,True,2.0472441290994076e-05
DELETE,4,quadratic,True,False,False,3.6059753082873854e-07
DELETE,4,quadratic,False,True,True,2.505496360824889
DELETE,4,quadratic,False,True,False,1.868845128675912
DELETE,4,quadratic,False,False,True,0.016933357317242895
DELETE,4,quadratic,False,False,False,0.012630560087518622
DELETE,4,cubic,True,True,True,0.0014633437410860606
DELETE,4,cubic,True,True,False,2.2400487691903697e-06
DELETE,4,cubic,True,False,True,8.13055700306561e-07
DELETE,4,cubic,True,False,False,1.244604647301268e-09
DELETE,4,cubic,False,True,True,13.24875890410286
DELETE,4,cubic,False,True,False,12.633339865715975
DELETE,4,cubic,False,False,True,0.007361208885188818
DELETE,4,cubic,False,False,False,0.0070192728498002736
REOPEN,1,basic,True,True,True,0.1164264671314167
REOPEN,1,basic,True,True,False,0.11630579535634036
REOPEN,1,basic,True,False,True,0.00475485691764706
REOPEN,1,basic,True,False,False,0.004749928682352942
REOPEN,1,basic,False,True,True,3.366286824218155
REOPEN,1,basic,False,True,False,3.280718631157789
REOPEN,1,basic,False,False,True,0.13747915390106946
REOPEN,1,basic,False,False,False,0.1339845488964841
REOPEN,1,quadratic,True,True,True,0.026479148511625788
REOPEN,1,quadratic,True,True,False,0.026478903364782484
REOPEN,1,quadratic,True,False,True,4.4164720085772314e-05
REOPEN,1,quadratic,True,False,False,4.4164311203979544e-05
REOPEN,1,quadratic,False,True,True,35.95450277349209
REOPEN,1,quadratic,False,True,False,35.88351953450781
REOPEN,1,quadratic,False,False,True,0.059968716521122976
REOPEN,1,quadratic,False,False,False,0.05985032317931498
REOPEN,1,cubic,True,True,True,0.0064878993588602316
REOPEN,1,cubic,True,True,False,0.006487898858424469
REOPEN,1,cubic,True,False,True,4.4193795800039435e-07
REOPEN,1,cubic,True,False,False,4.419379239120791e-07
REOPEN,1,cubic,False,True,True,535.5221723736261
REOPEN,1,cubic,False,True,False,535.4578203193904
REOPEN,1,cubic,False,False,True,0.03647830557043542
REOPEN,1,cubic,False,False,False,0.0364739220845228
REOPEN,2,basic,True,True,True,0.06758308864277521
REOPEN,2,basic,True,True,False,0.06750552114986984
REOPEN,2,basic,True,False,True,0.00276009334017094
REOPEN,2,basic,True,False,False,0.0027569254837606833
REOPEN,2,basic,False,True,True,7.015265293061928
REOPEN,2,basic,False,True,False,6.870712927878148
REOPEN,2,basic,False,False,True,0.28650343456864935
REOPEN,2,basic,False,False,False,0.2805999159745437
REOPEN,2,quadratic,True,True,True,0.013324766294175802
REOPEN,2,quadratic,True,True,False,0.013324610597608868
REOPEN,2,quadratic,True,False,True,2.2224452320747063e-05
REOPEN,2,quadratic,True,False,False,2.222419263357118e-05
REOPEN,2,quadratic,False,True,True,101.01832657611106
REOPEN,2,quadratic,False,True,False,100.88224827882743
REOPEN,2,quadratic,False,False,True,0.16848903259892456
REOPEN,2,quadratic,False,False,False,0.16826206684484654
REOPEN,2,cubic,True,True,True,0.00296733972143955
REOPEN,2,cubic,True,True,False,0.0029673393878689876
REOPEN,2,cubic,True,False,True,2.021270652719914e-07
REOPEN,2,cubic,True,False,False,2.0212704255007716e-07
REOPEN,2,cubic,False,True,True,1773.39019032545
REOPEN,2,cubic,False,True,False,1773.258163773017
REOPEN,2,cubic,False,False,True,0.12079848901787564
REOPEN,2,cubic,False,False,False,0.12078949573025566
REOPEN,3,basic,True,True,True,0.036113757761428576
REOPEN,3,basic,True,True,False,0.036076785777737284
REOPEN,3,basic,True,False,True,0.0014748858669767456
REOPEN,3,basic,True,False,False,0.0014733759311627906
REOPEN,3,basic,False,True,True,9.5286344491725
REOPEN,3,basic,False,True,False,9.335495618694582
REOPEN,3,basic,False,False,True,0.3891494309042054
REOPEN,3,basic,False,False,False,0.3812616410674868
REOPEN,3,quadratic,True,True,True,0.005919433856887923
REOPEN,3,quadratic,True,True,False,0.005919364824961368
REOPEN,3,quadratic,True,False,True,9.87305687873296e-06
REOPEN,3,quadratic,True,False,False,9.872941739996081e-06
REOPEN,3,quadratic,False,True,True,158.22238178950207
REOPEN,3,quadratic,False,True,False,158.03278929221997
REOPEN,3,quadratic,False,False,True,0.26389999663204855
REOPEN,3,quadratic,False,False,False,0.2635837742441134
REOPEN,3,cubic,True,True,True,0.0011563300519753566
REOPEN,3,cubic,True,True,False,0.0011563298983896136
REOPEN,3,cubic,True,False,True,7.876604023559551e-08
REOPEN,3,cubic,True,False,False,7.876602977375477e-08
REOPEN,3,cubic,False,True,True,3039.5628184494826
REOPEN,3,cubic,False,True,False,3039.374963860444
REOPEN,3,cubic,False,False,True,0.20704670508875933
REOPEN,3,cubic,False,False,False,0.20703390894799203
REOPEN,4,basic,True,True,True,0.01997170474043014
REOPEN,4,basic,True,True,False,0.01995602905953177
REOPEN,4,basic,True,False,True,0.0008156444215991722
REOPEN,4,basic,True,False,False,0.0008150042267912774
REOPEN,4,basic,False,True,True,11.120836028563694
REOPEN,4,basic,False,True,False,10.889039638347942
REOPEN,4,basic,False,False,True,0.4541749434065411
REOPEN,4,basic,False,False,False,0.4447083788301292
