Sensitive Activities,Background Size,Confidence Privacy
"('Release E',)",1,73.99328283866635
"('Release E',)",2,58.96156742051787
"('Release E',)",3,36.8496145415471
"('Release E',)",4,20.997392648082368
"('Leucocytes',)",1,0.00023234986638866962
"('Leucocytes',)",2,0.00017437031028763936
"('Leucocytes',)",3,0.00011084547833870246
"('Leucocytes',)",4,6.943258347278576e-05
"('ER Sepsis Triage',)",1,3.8965574169897474e-08
"('ER Sepsis Triage',)",2,3.785701236434749e-08
"('ER Sepsis Triage',)",3,3.0225629190279526e-08
"('ER Sepsis Triage',)",4,2.252185939479031e-08
"('Return ER',)",1,0.08123219617529538
"('Return ER',)",2,0.08910283598062829
"('Return ER',)",3,0.08126929442972958
"('Return ER',)",4,0.06944725033207036
"('IV Liquid',)",1,0.006840816463227063
"('IV Liquid',)",2,0.0067669093296832
"('IV Liquid',)",3,0.005509032760363975
"('IV Liquid',)",4,0.004183057863591553
"('Release C',)",1,5.641922651718824
"('Release C',)",2,5.499948855545522
"('Release C',)",3,4.365193247299357
"('Release C',)",4,3.2130743770091854
"('ER Triage',)",1,0.0
"('ER Triage',)",2,0.0
"('ER Triage',)",3,0.0
"('ER Triage',)",4,0.0
"('CRP',)",1,0.0002716120012048503
"('CRP',)",2,0.00020834538055480671
"('CRP',)",3,0.00013528586377923202
"('CRP',)",4,8.61674137369969e-05
"('Release D',)",1,6.585412227615581
"('Release D',)",2,6.551592664448911
"('Release D',)",3,5.3151590442359815
"('Release D',)",4,4.000028336790144
"('Admission IC',)",1,0.3650571463947291
"('Admission IC',)",2,0.38849927139599527
"('Admission IC',)",3,0.34512306808530996
"('Admission IC',)",4,0.28794395678353063
"('LacticAcid',)",1,0.002717178197766278
"('LacticAcid',)",2,0.0025738059977928455
"('LacticAcid',)",3,0.0020137221880446934
"('LacticAcid',)",4,0.0014774912572645053
"('ER Registration',)",1,0.0
"('ER Registration',)",2,0.0
"('ER Registration',)",3,0.0
"('ER Registration',)",4,0.0
"('Release B',)",1,0.4064690642799782
"('Release B',)",2,0.3474467214341749
"('Release B',)",3,0.23679668075730753
"('Release B',)",4,0.14807591288773322
"('Admission NC',)",1,0.0036159663331081994
"('Admission NC',)",2,0.003551631761052877
"('Admission NC',)",3,0.0029093617319502292
"('Admission NC',)",4,0.002248423272422172
"('IV Antibiotics',)",1,0.00466134227620423
"('IV Antibiotics',)",2,0.004549819734334239
"('IV Antibiotics',)",3,0.003656027186660005
"('IV Antibiotics',)",4,0.0027427504791787865
"('Release A',)",1,0.008124428163499323
"('Release A',)",2,0.00791951162645403
"('Release A',)",3,0.006314210765863732
"('Release A',)",4,0.004681434668580892
"('Release E', 'Leucocytes')",1,76.61719541988133
"('Release E', 'Leucocytes')",2,55.30996518272396
"('Release E', 'Leucocytes')",3,31.387912087799155
"('Release E', 'Leucocytes')",4,16.67510305220192
"('Release E', 'ER Sepsis Triage')",1,79.27653701939703
"('Release E', 'ER Sepsis Triage')",2,56.56430460964624
"('Release E', 'ER Sepsis Triage')",3,31.860020944251605
"('Release E', 'ER Sepsis Triage')",4,16.864802193851745
"('Release E', 'Return ER')",1,79.33344806099967
"('Release E', 'Return ER')",2,67.36272091264773
"('Release E', 'Return ER')",3,45.03003452845936
"('Release E', 'Return ER')",4,27.47143186911383
"('Release E', 'IV Liquid')",1,79.28485691748288
"('Release E', 'IV Liquid')",2,67.84818625119294
"('Release E', 'IV Liquid')",3,45.93115353656597
"('Release E', 'IV Liquid')",4,28.400662373107664
"('Release E', 'Release C')",1,80.8292390862614
"('Release E', 'Release C')",2,68.41699592826984
"('Release E', 'Release C')",3,45.33401067936575
"('Release E', 'Release C')",4,27.378600700231676
"('Release E', 'ER Triage')",1,79.27851732714251
"('Release E', 'ER Triage')",2,56.660794652433914
"('Release E', 'ER Triage')",3,31.940733004626072
"('Release E', 'ER Triage')",4,16.91130109518985
"('Release E', 'CRP')",1,75.90436360347663
"('Release E', 'CRP')",2,54.73149721804757
"('Release E', 'CRP')",3,31.035569710875134
"('Release E', 'CRP')",4,16.485032786994616
"('Release E', 'Release D')",1,81.44170618938797
"('Release E', 'Release D')",2,69.2561695875788
"('Release E', 'Release D')",3,46.30763060861318
"('Release E', 'Release D')",4,28.382460187398102
"('Release E', 'Admission IC')",1,78.31555350839994
"('Release E', 'Admission IC')",2,66.61316415253752
"('Release E', 'Admission IC')",3,44.5425922434737
