Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",1,0.0,0.0,11,0.44642857142857156
IMf20_,BillClintonEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",2,0.0,0.0,66,0.4464285714285716
IMf20_,BillClintonEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",3,0.0,0.0,231,0.4464285714285718
IMf20_,AlignmentEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",1,0.0,0.0,11,0.023809523809523822
IMf20_,AlignmentEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",2,0.0,0.0,66,0.023809523809523832
IMf20_,AlignmentEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",3,0.0,0.0,231,0.023809523809523832
Heuristic_,BillClintonEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",1,0.17092592592592623,2.0511111111111147,12,1.0000000000000007
Heuristic_,AlignmentEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",1,0.01767485117126238,0.2120982140551486,12,1.0
Heuristic_,AlignmentEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",2,0.01893371396975339,1.2306914080339704,65,1.0
Flower_,BillClintonEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",1,7.0224006681978425e-06,8.426880801837411e-05,12,0.9881024400080572
Flower_,BillClintonEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",2,1.327014790416732e-05,0.001035071536525051,78,0.9888099141722353
Flower_,BillClintonEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",3,1.954221076015937e-05,0.005823578806527492,298,0.988899232934744
Flower_,BillClintonEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",4,2.5473640268278203e-05,0.020200596732744616,793,0.9889534445132181
Flower_,AlignmentEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",1,0.04880699405893787,0.5856839287072544,12,0.09410352215448624
Flower_,AlignmentEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",2,0.05371859880605141,4.19005070687201,78,0.1250846881275582
Flower_,AlignmentEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",3,0.04770338486187396,14.215608688838442,298,0.14075932694792254
Flower_,AlignmentEstimator,"('Release_B', 'Release_C', 'Release_D', 'Release_E')",4,0.03972286343689173,31.50023070545514,793,0.1518605610268775
