Sensitive Activity,Background Size,Function,Background Odds,Percentage,Absolute,Confidence Privacy
Admission IC,1,basic,True,True,True,0.06962770562770564
Admission IC,1,basic,True,True,False,0.0681038961038961
Admission IC,1,basic,True,False,True,0.007294331065759638
Admission IC,1,basic,True,False,False,0.007134693877551021
Admission IC,1,basic,False,True,True,0.43735477868848094
Admission IC,1,basic,False,True,False,0.3955995717092511
Admission IC,1,basic,False,False,True,0.04581811967212658
Admission IC,1,basic,False,False,False,0.041443764655254886
Admission IC,1,quadratic,True,True,True,0.008552057120368807
Admission IC,1,quadratic,True,True,False,0.008533198903069032
Admission IC,1,quadratic,True,False,True,9.385931170654204e-05
Admission IC,1,quadratic,True,False,False,9.365234170261707e-05
Admission IC,1,quadratic,False,True,True,0.5372116945862665
Admission IC,1,quadratic,False,True,False,0.5117306864319713
Admission IC,1,quadratic,False,False,True,0.005895928802261973
Admission IC,1,quadratic,False,False,False,0.005616273293266988
Admission IC,1,cubic,True,True,True,0.0011781584473184409
Admission IC,1,cubic,True,True,False,0.0011779099362335661
Admission IC,1,cubic,True,False,True,1.3546086974459303e-06
Admission IC,1,cubic,True,False,False,1.354322967391752e-06
Admission IC,1,cubic,False,True,True,0.9044586151795718
Admission IC,1,cubic,False,True,False,0.8887094181075172
Admission IC,1,cubic,False,False,True,0.0010399174316415164
Admission IC,1,cubic,False,False,False,0.0010218095112848337
Admission IC,2,basic,True,True,True,0.08247950630929354
Admission IC,2,basic,True,True,False,0.08094777562862669
Admission IC,2,basic,True,False,True,0.008640710184783131
Admission IC,2,basic,True,False,False,0.008480243161094223
Admission IC,2,basic,False,True,True,0.8216347071191424
Admission IC,2,basic,False,True,False,0.7537778396995667
Admission IC,2,basic,False,False,True,0.08607601693629108
Admission IC,2,basic,False,False,False,0.0789672022542403
Admission IC,2,quadratic,True,True,True,0.010665110186856525
Admission IC,2,quadratic,True,True,False,0.010645458173891443
Admission IC,2,quadratic,True,False,True,0.00011705018889883349
Admission IC,2,quadratic,True,False,False,0.00011683450694248201
Admission IC,2,quadratic,False,True,True,2.2206517933787517
Admission IC,2,quadratic,False,True,False,2.1759072016061776
Admission IC,2,quadratic,False,False,True,0.02437177931962168
Admission IC,2,quadratic,False,False,False,0.023880704888376184
Admission IC,2,cubic,True,True,True,0.0015470205614065108
Admission IC,2,cubic,True,True,False,0.0015467568842418167
Admission IC,2,cubic,True,False,True,1.778714494963453e-06
Admission IC,2,cubic,True,False,False,1.7784113274383843e-06
Admission IC,2,cubic,False,True,True,11.570239022127494
Admission IC,2,cubic,False,True,False,11.539146225383265
Admission IC,2,cubic,False,False,True,0.01330308877093331
Admission IC,2,cubic,False,False,False,0.013267339273067788
Admission IC,3,basic,True,True,True,0.08005102040816323
Admission IC,3,basic,True,True,False,0.07852633477633478
Admission IC,3,basic,True,False,True,0.008386297376093291
Admission IC,3,basic,True,False,False,0.008226568405139831
Admission IC,3,basic,False,True,True,1.1615385875943585
Admission IC,3,basic,False,True,False,1.072875626337934
Admission IC,3,basic,False,False,True,0.12168499489083759
Admission IC,3,basic,False,False,False,0.11239649418778369
Admission IC,3,quadratic,True,True,True,0.010545746492221444
Admission IC,3,quadratic,True,True,False,0.01052726132693665
Admission IC,3,quadratic,True,False,True,0.00011574016558356418
Admission IC,3,quadratic,True,False,False,0.00011553728984665169
Admission IC,3,quadratic,False,True,True,4.218490326124825
Admission IC,3,quadratic,False,True,False,4.155829302090806
Admission IC,3,quadratic,False,False,True,0.04629817047266236
Admission IC,3,quadratic,False,False,False,0.045610462181676734
Admission IC,3,cubic,True,True,True,0.001568696795042674
Admission IC,3,cubic,True,True,False,0.0015684599584261743
Admission IC,3,cubic,True,False,True,1.8036371313696533e-06
Admission IC,3,cubic,True,False,False,1.8033648242438045e-06
Admission IC,3,cubic,False,True,True,25.66415643339327
Admission IC,3,cubic,False,True,False,25.616468059394645
Admission IC,3,cubic,False,False,True,0.029507821801400616
Admission IC,3,cubic,False,False,False,0.029452991242461295
Admission IC,4,basic,True,True,True,0.07363155363155344
Admission IC,4,basic,True,True,False,0.07209078604427425
