Sensitive Activity,Background Size,Function,Background Odds,Percentage,Absolute,Confidence Privacy
IV Antibiotics,1,basic,True,True,True,0.04299292175355356
IV Antibiotics,1,basic,True,True,False,0.0428549827383363
IV Antibiotics,1,basic,True,False,True,0.03369826152683294
IV Antibiotics,1,basic,True,False,False,0.033590143613000736
IV Antibiotics,1,basic,False,True,True,0.10938959505725386
IV Antibiotics,1,basic,False,True,False,0.08525026739423237
IV Antibiotics,1,basic,False,False,True,0.08574060641154277
IV Antibiotics,1,basic,False,False,False,0.06681997149090786
IV Antibiotics,1,quadratic,True,True,True,0.005143804556117448
IV Antibiotics,1,quadratic,True,True,False,0.0051435191485386614
IV Antibiotics,1,quadratic,True,False,True,0.00316013423690746
IV Antibiotics,1,quadratic,True,False,False,0.003159958894658089
IV Antibiotics,1,quadratic,False,True,True,0.022161180478371713
IV Antibiotics,1,quadratic,False,True,False,0.013420573378031007
IV Antibiotics,1,quadratic,False,False,True,0.013614884546244928
IV Antibiotics,1,quadratic,False,False,False,0.008245028159245682
IV Antibiotics,1,cubic,True,True,True,0.0007853123202561448
IV Antibiotics,1,cubic,True,True,False,0.0007853117297235395
IV Antibiotics,1,cubic,True,False,True,0.00037815863293420176
IV Antibiotics,1,cubic,True,False,False,0.0003781583485696287
IV Antibiotics,1,cubic,False,True,True,0.005716591697402713
IV Antibiotics,1,cubic,False,True,False,0.0025517060158698726
IV Antibiotics,1,cubic,False,False,True,0.002752762748746528
IV Antibiotics,1,cubic,False,False,False,0.0012287463646267417
IV Antibiotics,2,basic,True,True,True,0.045536285194773846
IV Antibiotics,2,basic,True,True,False,0.04540001797363292
IV Antibiotics,2,basic,True,False,True,0.03569177401457036
IV Antibiotics,2,basic,True,False,False,0.03558496646885704
IV Antibiotics,2,basic,False,True,True,0.15992599301907995
IV Antibiotics,2,basic,False,True,False,0.136157118218691
IV Antibiotics,2,basic,False,False,True,0.12535151643305048
IV Antibiotics,2,basic,False,False,False,0.10672124599426937
IV Antibiotics,2,quadratic,True,True,True,0.0055181472340959815
IV Antibiotics,2,quadratic,True,True,False,0.005517873120106519
IV Antibiotics,2,quadratic,True,False,True,0.0033901144198848062
IV Antibiotics,2,quadratic,True,False,False,0.0033899460159352657
IV Antibiotics,2,quadratic,False,True,True,0.03536583093101711
IV Antibiotics,2,quadratic,False,True,False,0.026973690384405946
IV Antibiotics,2,quadratic,False,False,True,0.02172725886501126
IV Antibiotics,2,quadratic,False,False,False,0.01657148547335992
IV Antibiotics,2,cubic,True,True,True,0.000837300521653055
IV Antibiotics,2,cubic,True,True,False,0.0008372999560723773
IV Antibiotics,2,cubic,True,False,True,0.00040319298762578625
IV Antibiotics,2,cubic,True,False,False,0.00040319271527654326
IV Antibiotics,2,cubic,False,True,True,0.009138118079366953
IV Antibiotics,2,cubic,False,True,False,0.006106986126766033
IV Antibiotics,2,cubic,False,False,True,0.00440036167948771
IV Antibiotics,2,cubic,False,False,False,0.002940752953287072
IV Antibiotics,3,basic,True,True,True,0.03869632915098172
IV Antibiotics,3,basic,True,True,False,0.038597303363412036
IV Antibiotics,3,basic,True,False,True,0.030330551325007588
IV Antibiotics,3,basic,True,False,False,0.030252933969607713
IV Antibiotics,3,basic,False,True,True,0.19048063298482515
IV Antibiotics,3,basic,False,True,False,0.1732174768522252
IV Antibiotics,3,basic,False,False,True,0.14930053423477244
IV Antibiotics,3,basic,False,False,False,0.13576950804702995
IV Antibiotics,3,quadratic,True,True,True,0.004593461147821527
IV Antibiotics,3,quadratic,True,True,False,0.0045932681810395126
IV Antibiotics,3,quadratic,True,False,True,0.002822026708202087
IV Antibiotics,3,quadratic,True,False,False,0.0028219081576374653
IV Antibiotics,3,quadratic,False,True,True,0.04476645348732525
IV Antibiotics,3,quadratic,False,True,False,0.038857408482701
IV Antibiotics,3,quadratic,False,False,True,0.027502600611443394
IV Antibiotics,3,quadratic,False,False,False,0.023872335265468694
IV Antibiotics,3,cubic,True,True,True,0.0006840422043240331
IV Antibiotics,3,cubic,True,True,False,0.0006840418074359155
IV Antibiotics,3,cubic,True,False,True,0.00032939310664590335
IV Antibiotics,3,cubic,True,False,False,0.00032939291552873363
IV Antibiotics,3,cubic,False,True,True,0.011629542907674291
IV Antibiotics,3,cubic,False,True,False,0.00950233993196121
IV Antibiotics,3,cubic,False,False,True,0.0056000802918529545
IV Antibiotics,3,cubic,False,False,False,0.004575748763465809
IV Antibiotics,4,basic,True,True,True,0.030742141004252748
IV Antibiotics,4,basic,True,True,False,0.030681893751825066
IV Antibiotics,4,basic,True,False,True,0.024095982901428562
IV Antibiotics,4,basic,True,False,False,0.024048760531192388
IV Antibiotics,4,basic,False,True,True,0.21249243478581797
IV Antibiotics,4,basic,False,True,False,0.20195089421578813
IV Antibiotics,4,basic,False,False,True,0.16655359412259776
IV Antibiotics,4,basic,False,False,False,0.1582910342281841
IV Antibiotics,4,quadratic,True,True,True,0.003452349056290057
IV Antibiotics,4,quadratic,True,True,False,0.0034522360567945005
IV Antibiotics,4,quadratic,True,False,True,0.002120976085213502
IV Antibiotics,4,quadratic,True,False,False,0.0021209066631406436
IV Antibiotics,4,quadratic,False,True,True,0.052141309392725
IV Antibiotics,4,quadratic,False,True,False,0.04867714367509745
IV Antibiotics,4,quadratic,False,False,True,0.03203339768677111
IV Antibiotics,4,quadratic,False,False,False,0.029905161948580672
IV Antibiotics,4,cubic,True,True,True,0.0004973512073286028
IV Antibiotics,4,cubic,True,True,False,0.0004973509758031987
IV Antibiotics,4,cubic,True,False,True,0.00023949408127229424
IV Antibiotics,4,cubic,True,False,False,0.0002394939697837464
IV Antibiotics,4,cubic,False,True,True,0.013655327814166337
IV Antibiotics,4,cubic,False,True,False,0.012414160824666495
IV Antibiotics,4,cubic,False,False,True,0.006575575048649675
IV Antibiotics,4,cubic,False,False,False,0.0059779045424245905
Release A,1,basic,True,True,True,0.05513410451115366
Release A,1,basic,True,True,False,0.04805062332931182
Release A,1,basic,True,False,True,0.03523331821617535
Release A,1,basic,True,False,False,0.030706636432350703
Release A,1,basic,False,True,True,0.361197768358972
Release A,1,basic,False,True,False,0.09449520537110999
Release A,1,basic,False,False,True,0.2308225738751145
Release A,1,basic,False,False,False,0.060386936003823624
Release A,1,quadratic,True,True,True,0.006904440409820121
Release A,1,quadratic,True,True,False,0.006639991791143584
Release A,1,quadratic,True,False,True,0.0028196482127508587
Release A,1,quadratic,True,False,False,0.0027116521941372147
Release A,1,quadratic,False,True,True,0.2942057727058947
Release A,1,quadratic,False,True,False,0.02753908671103981
Release A,1,quadratic,False,False,True,0.12014830050691581
Release A,1,quadratic,False,False,False,0.011246463437519526
Release A,1,cubic,True,True,True,0.001195172716207038
Release A,1,cubic,True,True,False,0.001183350742758639
Release A,1,cubic,True,False,True,0.0003119107433182816
Release A,1,cubic,True,False,False,0.00030882549841955155
Release A,1,cubic,False,True,True,0.27683321701892016
Release A,1,cubic,False,True,False,0.010166550341846292
Release A,1,cubic,False,False,True,0.07224667474805768
Release A,1,cubic,False,False,False,0.002653220100414918
Release A,2,basic,True,True,True,0.06032804264988941
Release A,2,basic,True,True,False,0.05088071847857727
Release A,2,basic,True,False,True,0.03855249201721504
Release A,2,basic,True,False,False,0.032515201999167014
Release A,2,basic,False,True,True,0.5573762050862759
Release A,2,basic,False,True,False,0.11858970621244105
