Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC
IMf20_,BillClintonEstimator,"(('Appeal to Judge', 0.0036908957903837203), ('Notify Result Appeal to Offender', 0.005958635366096961), ('Receive Result Appeal from Prefecture', 0.006643612422690696), ('Send Appeal to Prefecture', 0.027538737780142316))",1,0.0,0,21
IMf20_,BillClintonEstimator,"(('Appeal to Judge', 0.0036908957903837203), ('Notify Result Appeal to Offender', 0.005958635366096961), ('Receive Result Appeal from Prefecture', 0.006643612422690696), ('Send Appeal to Prefecture', 0.027538737780142316))",2,0.0,0,203
IMf20_,BillClintonEstimator,"(('Appeal to Judge', 0.0036908957903837203), ('Notify Result Appeal to Offender', 0.005958635366096961), ('Receive Result Appeal from Prefecture', 0.006643612422690696), ('Send Appeal to Prefecture', 0.027538737780142316))",3,0.0,0,1129
IMf20_,AlignmentEstimator,"(('Appeal to Judge', 0.0036908957903837203), ('Notify Result Appeal to Offender', 0.005958635366096961), ('Receive Result Appeal from Prefecture', 0.006643612422690696), ('Send Appeal to Prefecture', 0.027538737780142316))",1,0.0,0,21
IMf20_,AlignmentEstimator,"(('Appeal to Judge', 0.0036908957903837203), ('Notify Result Appeal to Offender', 0.005958635366096961), ('Receive Result Appeal from Prefecture', 0.006643612422690696), ('Send Appeal to Prefecture', 0.027538737780142316))",2,0.0,0,203
Alpha_,BillClintonEstimator,"(('Appeal to Judge', 0.0036908957903837203), ('Notify Result Appeal to Offender', 0.005958635366096961), ('Receive Result Appeal from Prefecture', 0.006643612422690696), ('Send Appeal to Prefecture', 0.027538737780142316))",1,0.0,0,7
Alpha_,BillClintonEstimator,"(('Appeal to Judge', 0.0036908957903837203), ('Notify Result Appeal to Offender', 0.005958635366096961), ('Receive Result Appeal from Prefecture', 0.006643612422690696), ('Send Appeal to Prefecture', 0.027538737780142316))",2,0.0,0,28
Alpha_,BillClintonEstimator,"(('Appeal to Judge', 0.0036908957903837203), ('Notify Result Appeal to Offender', 0.005958635366096961), ('Receive Result Appeal from Prefecture', 0.006643612422690696), ('Send Appeal to Prefecture', 0.027538737780142316))",3,0.0,0,63
Alpha_,BillClintonEstimator,"(('Appeal to Judge', 0.0036908957903837203), ('Notify Result Appeal to Offender', 0.005958635366096961), ('Receive Result Appeal from Prefecture', 0.006643612422690696), ('Send Appeal to Prefecture', 0.027538737780142316))",4,0.0,0,98
Alpha_,AlignmentEstimator,"(('Appeal to Judge', 0.0036908957903837203), ('Notify Result Appeal to Offender', 0.005958635366096961), ('Receive Result Appeal from Prefecture', 0.006643612422690696), ('Send Appeal to Prefecture', 0.027538737780142316))",1,0.0,0,0
