Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",1,0.09523769772450305,0.6666638840715213,7,1.0
IMf20_,BillClintonEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",2,0.15475889418400696,4.333249037152195,28,1.0000000000000002
IMf20_,BillClintonEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",3,0.20281517285892106,12.777355890112027,63,1.0000000000000002
IMf20_,BillClintonEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",4,0.23695102081675068,23.221200040041566,98,1.0000000000000002
IMf20_,AlignmentEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",1,0.16450064820872437,1.1515045374610706,7,1.0
IMf20_,AlignmentEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",2,0.16757512310488082,4.692103446936663,28,1.0
IMf20_,AlignmentEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",3,0.14111029643871892,8.889948675639292,63,1.0000000000000002
IMf20_,AlignmentEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",4,0.11543764931262364,11.312889632637116,98,1.0000000000000002
IM_,BillClintonEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",1,0.18748205616837385,1.312374393178617,7,0.9997585707387737
IM_,BillClintonEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",2,0.23936208841041098,6.702138475491507,28,0.9997585707387738
IM_,AlignmentEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",1,0.053042164153903296,0.3712951490773231,7,0.027538737780142316
IM_,AlignmentEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",2,0.04592367497811885,1.2858628993873278,28,0.027538737780142333
Flower_,BillClintonEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",1,6.471781698595745e-09,4.5302471890170217e-08,7,0.9998785897748789
Flower_,BillClintonEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",2,1.1364310853681436e-08,3.182007039030802e-07,28,0.9998795745805032
Flower_,BillClintonEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",3,1.5886775545880964e-08,1.0008668593905008e-06,63,0.9998799655641575
Flower_,BillClintonEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",4,1.9497392922060434e-08,1.9107445063619224e-06,98,0.9998802601152565
Flower_,AlignmentEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",1,0.04488523437894413,0.3141966406526089,7,0.052194781517213795
Flower_,AlignmentEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",2,0.035466715190461504,0.993068025332922,28,0.067506202743431
Flower_,AlignmentEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",3,0.025881522957362214,1.6305359463138196,63,0.0777686290998351
Flower_,AlignmentEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",4,0.02002368721808165,1.9623213473720016,98,0.08587655348785035
Alpha+_,BillClintonEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",1,0.0,0.0,5,1.0000000000000002
Alpha+_,BillClintonEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",2,0.0,0.0,15,1.0000000000000004
Alpha+_,BillClintonEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",3,0.0,0.0,25,1.0000000000000002
Alpha+_,BillClintonEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",4,0.0,0.0,30,1.0
Alpha+_,AlignmentEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",1,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",2,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",3,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Appeal_to_Judge', 'Notify_Result_Appeal_to_Offender', 'Receive_Result_Appeal_from_Prefecture', 'Send_Appeal_to_Prefecture')",4,0.0,0.0,0,0.0
