Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",1,0.0,0,11,0
IMf20_,BillClintonEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",2,0.0,0,66,0
IMf20_,BillClintonEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",3,0.0,0,231,0
IMf20_,BillClintonEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",4,0.0,0,561,0
IMf20_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",1,0.0,0,11,0
IMf20_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",2,0.0,0,66,0
IMf20_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",3,0.0,0,231,0
IMf20_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",4,0.0,0,561,0
Alpha+_,BillClintonEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",1,0.0,0,7,0
Alpha+_,BillClintonEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",2,0.0,0,28,0
Alpha+_,BillClintonEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",3,0.0,0,63,0
Alpha+_,BillClintonEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",4,0.0,0,98,0
Alpha+_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",1,0.0,0,0,0
Alpha+_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",2,0.0,0,0,0
Alpha+_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",3,0.0,0,0,0
Alpha+_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",4,0.0,0,0,0
IM_,BillClintonEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",1,0.0,0,11,0
IM_,BillClintonEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",2,0.0,0,66,0
IM_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",1,0.0,0,11,0
IM_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",2,0.0,0,66,0
Heuristic_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",1,0.0,0,0,0
Heuristic_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",2,0.0,0,0,0
Flower_,BillClintonEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",1,0.0,0,11,0
Flower_,BillClintonEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",2,0.0,0,66,0
Flower_,BillClintonEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",3,0.0,0,231,0
Flower_,BillClintonEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",4,0.0,0,561,0
Flower_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",1,0.0,0,11,0
Flower_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",2,0.0,0,66,0
Flower_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",3,0.0,0,231,0
Flower_,AlignmentEstimator,"('Appeal to Judge', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Insert Date Appeal to Prefecture')",4,0.0,0,561,0
