Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",1,0.22211186802948366,1.9990068122653528,9,0.9999830548683365
IMf20_,BillClintonEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",2,0.3183168821424136,14.324259696408612,45,0.9999830548683365
IMf20_,BillClintonEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",3,0.37352427218255063,48.18463111154903,129,0.9999830548683365
IMf20_,BillClintonEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",4,0.4018067311688899,102.46071644806692,255,0.9999830548683366
IMf20_,AlignmentEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",1,0.4504962387969875,4.054466149172888,9,0.8959537572254336
IMf20_,AlignmentEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",2,0.4907838335221189,22.08527250849535,45,0.8959537572254339
IMf20_,AlignmentEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",3,0.44436552666849766,57.3231529402362,129,0.8959537572254339
IMf20_,AlignmentEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",4,0.3801917443524491,96.94889480987453,255,0.8959537572254339
IM_,BillClintonEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",1,0.12491504082843037,1.1242353674558734,9,0.9999830548683365
IM_,BillClintonEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",2,0.12695194751353545,5.712837638109095,45,0.9999830548683369
IM_,AlignmentEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",1,0.02306128431468368,0.20755155883215312,9,0.39245195185209825
IM_,AlignmentEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",2,0.013457305264287104,0.6055787368929196,45,0.3924519518520984
Flower_,BillClintonEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",1,1.0847976499067796e-07,9.763178849161017e-07,9,0.999999746289716
Flower_,BillClintonEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",2,1.9497980528916672e-07,8.774091238012502e-06,45,0.9999999916807385
Flower_,BillClintonEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",3,2.783360496564039e-07,3.59053504056761e-05,129,0.9999999984894098
Flower_,BillClintonEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",4,3.516087159783134e-07,8.966022257446993e-05,255,0.9999999996520167
Flower_,AlignmentEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",1,0.030466310379291768,0.2741967934136259,9,0.48338715348910233
Flower_,AlignmentEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",2,0.0173223170382463,0.7795042667210834,45,0.6276490464127681
Flower_,AlignmentEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",3,0.008974687634384868,1.1577347048356479,129,0.7281058792694652
Flower_,AlignmentEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",4,0.005090280730731841,1.2980215863366196,255,0.8000480749253304
Alpha+_,BillClintonEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",1,0.0,0.0,6,1.0000000000000002
Alpha+_,BillClintonEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",2,0.0,0.0,21,1.0000000000000002
Alpha+_,BillClintonEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",3,0.0,0.0,41,1.0000000000000002
Alpha+_,BillClintonEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",4,0.0,0.0,56,1.0000000000000002
Alpha+_,AlignmentEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",1,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",2,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",3,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Appeal_to_Judge', 'Send_for_Credit_Collection')",4,0.0,0.0,0,0.0
