Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC
IMf20_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",1,0.0,0,21
IMf20_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",2,0.0,0,203
IMf20_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",3,0.0,0,1129
IMf20_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",1,0.0,0,21
IMf20_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",2,0.0,0,203
IMf20_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",3,0.0,0,1129
Alpha_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",1,0.0,0,7
Alpha_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",2,0.0,0,28
Alpha_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",3,0.0,0,63
Alpha_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",4,0.0,0,98
Alpha_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",1,0.0,0,0
Alpha_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",2,0.0,0,0
Alpha_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",3,0.0,0,0
Alpha_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",4,0.0,0,0
Alpha+_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",1,0.0,0,7
Alpha+_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",2,0.0,0,28
Alpha+_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",3,0.0,0,63
Alpha+_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",4,0.0,0,98
Alpha+_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",1,0.0,0,0
Alpha+_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",2,0.0,0,0
Alpha+_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",3,0.0,0,0
Alpha+_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",4,0.0,0,0
IM_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",1,0.0,0,32
IM_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",1,0.0,0,32
Flower_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",1,0.0,0,11
Flower_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",2,0.0,0,66
Flower_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",3,0.0,0,231
Flower_,BillClintonEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",4,0.0,0,561
Flower_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",1,0.0,0,11
Flower_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",2,0.0,0,66
Flower_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",3,0.0,0,231
Flower_,AlignmentEstimator,"('Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Appeal to Judge')",4,0.0,0,561
