Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",1,0.0,0,11,0
IMf20_,BillClintonEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",2,0.0,0,66,0
IMf20_,BillClintonEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",3,0.0,0,231,0
IMf20_,BillClintonEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",4,0.0,0,561,0
IMf20_,AlignmentEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",1,0.0,0,11,0
IMf20_,AlignmentEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",2,0.0,0,66,0
IMf20_,AlignmentEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",3,0.0,0,231,0
IMf20_,AlignmentEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",4,0.0,0,561,0
Alpha+_,BillClintonEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",1,0.0,0,7,0
Alpha+_,BillClintonEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",2,0.0,0,28,0
Alpha+_,BillClintonEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",3,0.0,0,63,0
Alpha+_,BillClintonEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",4,0.0,0,98,0
Alpha+_,AlignmentEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",1,0.0,0,0,0
Alpha+_,AlignmentEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",2,0.0,0,0,0
Alpha+_,AlignmentEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",3,0.0,0,0,0
Alpha+_,AlignmentEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",4,0.0,0,0,0
IM_,BillClintonEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",1,0.0,0,11,0
IM_,BillClintonEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",2,0.0,0,66,0
IM_,AlignmentEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",1,0.0,0,11,0
IM_,AlignmentEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",2,0.0,0,66,0
Flower_,BillClintonEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",1,0.0,0,11,0
Flower_,BillClintonEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",2,0.0,0,66,0
Flower_,BillClintonEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",3,0.0,0,231,0
Flower_,BillClintonEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",4,0.0,0,561,0
Flower_,AlignmentEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",1,0.0,0,11,0
Flower_,AlignmentEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",2,0.0,0,66,0
Flower_,AlignmentEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",3,0.0,0,231,0
Flower_,AlignmentEstimator,"('Send Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Appeal to Judge', 'Insert Date Appeal to Prefecture')",4,0.0,0,561,0
